,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,8005,8005,8005
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-4.3460000000E-08,-4.3460000000E-08,-4.3460000000E-08
XInc:               ,2.5000000E-11,2.5000000E-11,2.5000000E-11
XOrg:               ,-4.3503174044E-08,-4.3503174044E-08,-4.3503174044E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,6.40000E-01
YDispOrg:           ,-3.40000009536743E+00,0.0E+00,2.94499993324280E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.0538557035034E-05
YOrg:               ,-3.28354070588684E+00,2.32918585010111E-02,3.03816743078784E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,28 NOV 2024,28 NOV 2024,28 NOV 2024
Time:               ,14:35:38,14:35:38,14:35:38
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-4.35032E-08, -2.396486E-02, 7.16787E-03, 2.96202E-03
-4.34782E-08, -2.712642E-02, 5.06015E-03, 3.08848E-03
-4.34532E-08, -2.870721E-02, 1.89859E-03, 2.87771E-03
-4.34282E-08, -3.028799E-02, -1.89529E-03, 2.49832E-03
-4.34032E-08, -2.818028E-02, -5.16225E-03, 1.95032E-03
-4.33782E-08, -2.396486E-02, -7.16457E-03, 1.23369E-03
-4.33532E-08, -1.711480E-02, -7.79689E-03, 5.1707E-04
-4.33282E-08, -9.73780E-03, -6.21610E-03, -1.9955E-04
-4.33032E-08, -1.83389E-03, -3.37069E-03, -7.8971E-04
-4.32782E-08, 6.59696E-03, 4.2319E-04, -1.42202E-03
-4.32532E-08, 1.344702E-02, 3.79553E-03, -1.97003E-03
-4.32282E-08, 1.713552E-02, 6.32478E-03, -2.09649E-03
-4.32032E-08, 1.660859E-02, 7.37864E-03, -2.01218E-03
-4.31782E-08, 1.239317E-02, 7.27325E-03, -1.71710E-03
-4.31532E-08, 4.48925E-03, 6.11401E-03, -1.25341E-03
-4.31282E-08, -7.10317E-03, 4.63861E-03, -7.8971E-04
-4.31032E-08, -2.185715E-02, 3.05783E-03, -1.9955E-04
-4.30782E-08, -3.450342E-02, 2.10936E-03, 9.553E-05
-4.30532E-08, -4.398812E-02, 1.79320E-03, 3.4845E-04
-4.30282E-08, -4.820354E-02, 1.16089E-03, 4.7492E-04
-4.30032E-08, -4.556890E-02, 4.2319E-04, 6.8569E-04
-4.29782E-08, -3.661112E-02, -1.05221E-03, 8.5431E-04
-4.29532E-08, -2.659950E-02, -2.94915E-03, 1.14939E-03
-4.29282E-08, -1.816865E-02, -5.05686E-03, 1.40231E-03
-4.29032E-08, -1.448016E-02, -6.74303E-03, 1.48662E-03
-4.28782E-08, -1.606094E-02, -7.16457E-03, 1.31800E-03
-4.28532E-08, -1.974943E-02, -6.53226E-03, 1.19154E-03
-4.28282E-08, -2.396486E-02, -4.21378E-03, 9.3861E-04
-4.28032E-08, -2.396486E-02, -1.26298E-03, 7.7000E-04
-4.27782E-08, -1.922251E-02, 2.10936E-03, 8.1215E-04
-4.27532E-08, -7.10317E-03, 5.06015E-03, 1.14939E-03
-4.27282E-08, 6.59696E-03, 6.74632E-03, 1.95032E-03
-4.27032E-08, 1.608166E-02, 7.16787E-03, 2.79340E-03
-4.26782E-08, 1.924323E-02, 6.32478E-03, 3.59433E-03
-4.26532E-08, 1.239317E-02, 4.11168E-03, 4.18449E-03
-4.26282E-08, -4.46853E-03, 2.00397E-03, 4.35311E-03
-4.26032E-08, -2.607257E-02, -2.0912E-04, 3.93156E-03
-4.25782E-08, -4.293426E-02, -2.42222E-03, 3.00417E-03
-4.25532E-08, -5.241896E-02, -4.00301E-03, 1.90816E-03
-4.25282E-08, -5.136511E-02, -5.47840E-03, 6.8569E-04
-4.25032E-08, -3.871884E-02, -6.32149E-03, -1.5740E-04
-4.24782E-08, -1.922251E-02, -6.63764E-03, -7.8971E-04
-4.24532E-08, -1.30696E-03, -6.32149E-03, -8.7402E-04
-4.24282E-08, 8.70467E-03, -5.47840E-03, -4.9463E-04
-4.24032E-08, 7.65082E-03, -4.00301E-03, 5.338E-05
-4.23782E-08, -2.88774E-03, -2.52761E-03, 6.0138E-04
-4.23532E-08, -2.133022E-02, -1.26298E-03, 9.3861E-04
-4.23282E-08, -4.082655E-02, -1.26298E-03, 8.9646E-04
-4.23032E-08, -5.294589E-02, -2.52761E-03, 3.9061E-04
-4.22782E-08, -5.768824E-02, -5.05686E-03, -4.9463E-04
-4.22532E-08, -5.294589E-02, -7.90227E-03, -1.46418E-03
-4.22282E-08, -4.082655E-02, -1.074768E-02, -2.26511E-03
-4.22032E-08, -2.712642E-02, -1.201231E-02, -2.60234E-03
-4.21782E-08, -1.395323E-02, -1.106384E-02, -2.26511E-03
-4.21532E-08, -5.52238E-03, -7.16457E-03, -1.29556E-03
-4.21282E-08, -2.36081E-03, -1.68452E-03, 2.2199E-04
-4.21032E-08, -2.88774E-03, 4.63861E-03, 1.82385E-03
-4.20782E-08, -8.15702E-03, 9.59173E-03, 3.17279E-03
-4.20532E-08, -1.553401E-02, 1.180483E-02, 3.88941E-03
-4.20282E-08, -2.712642E-02, 1.054020E-02, 3.84726E-03
-4.20032E-08, -4.293426E-02, 5.79785E-03, 3.21494E-03
-4.19782E-08, -5.979595E-02, -1.36837E-03, 1.86601E-03
-4.19532E-08, -7.876536E-02, -8.85074E-03, 4.3276E-04
-4.19282E-08, -9.351934E-02, -1.538465E-02, -7.8971E-04
-4.19032E-08, -1.0036940E-01, -1.886237E-02, -1.37987E-03
-4.18782E-08, -9.510012E-02, -1.886237E-02, -1.42202E-03
-4.18532E-08, -7.454994E-02, -1.633312E-02, -8.3186E-04
-4.18282E-08, -4.346119E-02, -1.211769E-02, 2.6415E-04
-4.18032E-08, -5.52238E-03, -7.48073E-03, 1.48662E-03
-4.17782E-08, 3.030871E-02, -3.89762E-03, 2.62478E-03
-4.17532E-08, 5.665511E-02, -2.84376E-03, 3.59433E-03
-4.17282E-08, 6.561288E-02, -3.37069E-03, 4.22664E-03
-4.17032E-08, 5.454740E-02, -5.47840E-03, 4.77465E-03
-4.16782E-08, 2.820100E-02, -8.21843E-03, 5.02757E-03
-4.16532E-08, -8.68395E-03, -1.043153E-02, 5.11188E-03
-4.16282E-08, -4.820354E-02, -1.169615E-02, 4.98542E-03
-4.16032E-08, -8.140000E-02, -1.180154E-02, 4.69034E-03
-4.15782E-08, -1.0089633E-01, -1.053691E-02, 4.05803E-03
-4.15532E-08, -1.0616560E-01, -8.21843E-03, 3.13063E-03
-4.15282E-08, -9.668090E-02, -5.47840E-03, 2.11893E-03
-4.15032E-08, -7.718457E-02, -2.31684E-03, 1.14939E-03
-4.14782E-08, -5.294589E-02, 3.1780E-04, 3.0630E-04
-4.14532E-08, -3.186877E-02, 2.63629E-03, -3.6817E-04
-4.14282E-08, -1.606094E-02, 4.21707E-03, -8.3186E-04
-4.14032E-08, -1.079166E-02, 4.95477E-03, -9.5833E-04
-4.13782E-08, -1.184552E-02, 4.95477E-03, -1.16910E-03
-4.13532E-08, -1.658787E-02, 3.69014E-03, -1.33771E-03
-4.13282E-08, -2.291100E-02, 1.68782E-03, -1.33771E-03
-4.13032E-08, -3.081492E-02, -7.3605E-04, -1.04263E-03
-4.12782E-08, -3.450342E-02, -3.47608E-03, -5.7894E-04
-4.12532E-08, -3.555727E-02, -6.21610E-03, 4.3276E-04
-4.12282E-08, -3.503034E-02, -8.42920E-03, 1.82385E-03
-4.12032E-08, -3.344956E-02, -9.69383E-03, 3.38356E-03
-4.11782E-08, -3.028799E-02, -1.032614E-02, 4.73249E-03
-4.11532E-08, -2.712642E-02, -1.032614E-02, 5.74420E-03
-4.11282E-08, -2.291100E-02, -9.79921E-03, 6.08143E-03
-4.11032E-08, -1.922251E-02, -8.74536E-03, 5.65989E-03
-4.10782E-08, -1.237244E-02, -7.16457E-03, 4.60603E-03
-4.10532E-08, -4.46853E-03, -5.68917E-03, 3.25710E-03
-4.10282E-08, 8.0075E-04, -4.10839E-03, 1.99247E-03
-4.10032E-08, 6.07003E-03, -2.94915E-03, 1.27585E-03
-4.09782E-08, 9.23160E-03, -2.73838E-03, 1.02292E-03
-4.09532E-08, 1.028545E-02, -2.94915E-03, 1.36016E-03
-4.09282E-08, 7.12389E-03, -3.89762E-03, 2.03462E-03
-4.09032E-08, 1.85461E-03, -5.68917E-03, 2.83555E-03
-4.08782E-08, -4.46853E-03, -7.16457E-03, 3.42571E-03
-4.08532E-08, -1.237244E-02, -8.74536E-03, 3.63648E-03
-4.08282E-08, -1.974943E-02, -9.37767E-03, 3.55218E-03
-4.08032E-08, -2.501871E-02, -9.69383E-03, 3.42571E-03
-4.07782E-08, -2.501871E-02, -8.95613E-03, 2.96202E-03
-4.07532E-08, -2.185715E-02, -7.90227E-03, 2.62478E-03
-4.07282E-08, -1.289937E-02, -6.95380E-03, 2.41401E-03
-4.07032E-08, -2.36081E-03, -6.63764E-03, 2.28755E-03
-4.06782E-08, 9.75853E-03, -7.16457E-03, 2.11893E-03
-4.06532E-08, 1.977016E-02, -8.74536E-03, 2.07678E-03
-4.06282E-08, 2.240480E-02, -1.106384E-02, 1.69739E-03
-4.06032E-08, 1.766245E-02, -1.369848E-02, 1.14939E-03
-4.05782E-08, 6.59696E-03, -1.643850E-02, 3.4845E-04
-4.05532E-08, -8.15702E-03, -1.854621E-02, -6.6325E-04
-4.05282E-08, -2.185715E-02, -1.981084E-02, -1.59064E-03
-4.05032E-08, -3.134185E-02, -1.981084E-02, -2.09649E-03
-4.04782E-08, -3.503034E-02, -1.865160E-02, -1.88572E-03
-4.04532E-08, -2.976106E-02, -1.601696E-02, -7.8971E-04
-4.04282E-08, -2.080329E-02, -1.222308E-02, 1.19154E-03
-4.04032E-08, -1.131859E-02, -8.11304E-03, 3.80510E-03
-4.03782E-08, -7.10317E-03, -3.68685E-03, 6.33436E-03
-4.03532E-08, -1.026473E-02, 2.1242E-04, 8.18914E-03
-4.03282E-08, -2.185715E-02, 2.84706E-03, 8.86361E-03
-4.03032E-08, -3.871884E-02, 4.32246E-03, 8.02052E-03
-4.02782E-08, -5.347282E-02, 4.11168E-03, 5.99712E-03
-4.02532E-08, -6.348445E-02, 2.32013E-03, 3.34140E-03
-4.02282E-08, -6.506523E-02, 1.65E-06, 1.02292E-03
-4.02032E-08, -5.663439E-02, -3.05454E-03, -2.4170E-04
-4.01782E-08, -4.346119E-02, -5.58379E-03, -1.1524E-04
-4.01532E-08, -2.870721E-02, -6.84842E-03, 1.44446E-03
-4.01282E-08, -1.922251E-02, -7.05919E-03, 3.67864E-03
-4.01032E-08, -1.658787E-02, -5.79456E-03, 5.91281E-03
-4.00782E-08, -2.238407E-02, -2.94915E-03, 7.17744E-03
-4.00532E-08, -3.134185E-02, 4.2319E-04, 7.05098E-03
-4.00282E-08, -4.135348E-02, 3.69014E-03, 5.49127E-03
-4.00032E-08, -4.504197E-02, 6.64094E-03, 3.08848E-03
-3.99782E-08, -4.029962E-02, 8.43249E-03, 5.1707E-04
-3.99532E-08, -2.765335E-02, 8.22172E-03, -1.42202E-03
-3.99282E-08, -1.131859E-02, 6.74632E-03, -2.13864E-03
-3.99032E-08, 7.12389E-03, 3.90091E-03, -1.59064E-03
-3.98782E-08, 2.029708E-02, 4.2319E-04, -2.8386E-04
-3.98532E-08, 2.451251E-02, -3.26531E-03, 1.57093E-03
-3.98282E-08, 2.029708E-02, -5.79456E-03, 3.00417E-03
-3.98032E-08, 9.75853E-03, -7.16457E-03, 3.84726E-03
-3.97782E-08, -6.04931E-03, -7.58611E-03, 3.84726E-03
-3.97532E-08, -2.133022E-02, -7.16457E-03, 3.34140E-03
-3.97282E-08, -3.344956E-02, -6.53226E-03, 2.45617E-03
-3.97032E-08, -4.188041E-02, -6.63764E-03, 1.61308E-03
-3.96782E-08, -4.556890E-02, -7.58611E-03, 9.3861E-04
-3.96532E-08, -4.609583E-02, -9.27228E-03, 3.4845E-04
-3.96282E-08, -4.504197E-02, -1.159077E-02, -7.309E-05
-3.96032E-08, -4.346119E-02, -1.380386E-02, -4.5248E-04
-3.95782E-08, -4.188041E-02, -1.538465E-02, -8.7402E-04
-3.95532E-08, -4.135348E-02, -1.549003E-02, -1.21125E-03
-3.95282E-08, -4.029962E-02, -1.412002E-02, -1.21125E-03
-3.95032E-08, -3.819191E-02, -1.116922E-02, -8.3186E-04
-3.94782E-08, -3.503034E-02, -7.26996E-03, -2.4170E-04
-3.94532E-08, -3.239570E-02, -3.05454E-03, 5.5923E-04
-3.94282E-08, -2.870721E-02, 7.3935E-04, 1.19154E-03
-3.94032E-08, -2.818028E-02, 3.37398E-03, 1.14939E-03
-3.93782E-08, -2.765335E-02, 4.63861E-03, 4.7492E-04
-3.93532E-08, -2.818028E-02, 4.11168E-03, -7.4756E-04
-3.93282E-08, -3.028799E-02, 2.00397E-03, -2.34942E-03
-3.93032E-08, -3.292263E-02, -1.26298E-03, -3.52973E-03
-3.92782E-08, -3.344956E-02, -4.63532E-03, -4.07774E-03
-3.92532E-08, -3.134185E-02, -7.90227E-03, -3.61404E-03
-3.92282E-08, -2.712642E-02, -9.90460E-03, -2.18080E-03
-3.92032E-08, -2.291100E-02, -1.053691E-02, -1.5740E-04
-3.91782E-08, -1.869558E-02, -9.58844E-03, 1.78170E-03
-3.91532E-08, -1.711480E-02, -7.37534E-03, 3.13063E-03
-3.91282E-08, -2.133022E-02, -4.31916E-03, 3.51002E-03
-3.91032E-08, -2.976106E-02, -1.57914E-03, 2.87771E-03
-3.90782E-08, -4.082655E-02, 4.2319E-04, 1.61308E-03
-3.90532E-08, -5.136511E-02, 1.58243E-03, 2.2199E-04
-3.90282E-08, -5.874210E-02, 1.58243E-03, -7.4756E-04
-3.90032E-08, -5.821517E-02, 5.2857E-04, -7.0540E-04
-3.89782E-08, -4.873047E-02, -3.1451E-04, 2.6415E-04
-3.89532E-08, -3.397649E-02, -9.4682E-04, 1.90816E-03
-3.89282E-08, -1.711480E-02, -1.36837E-03, 3.93156E-03
-3.89032E-08, -5.52238E-03, -1.26298E-03, 5.40696E-03
-3.88782E-08, -1.83389E-03, -1.15759E-03, 6.03928E-03
-3.88532E-08, -6.57624E-03, -1.47375E-03, 5.61773E-03
-3.88282E-08, -1.922251E-02, -2.52761E-03, 4.18449E-03
-3.88032E-08, -3.397649E-02, -4.84609E-03, 2.16109E-03
-3.87782E-08, -4.346119E-02, -7.37534E-03, 9.553E-05
-3.87532E-08, -4.346119E-02, -1.000998E-02, -1.54849E-03
-3.87282E-08, -3.292263E-02, -1.169615E-02, -2.13864E-03
-3.87032E-08, -1.289937E-02, -1.232847E-02, -1.71710E-03
-3.86782E-08, 1.239317E-02, -1.138000E-02, -5.7894E-04
-3.86532E-08, 3.241643E-02, -9.27228E-03, 1.10723E-03
-3.86282E-08, 4.190113E-02, -6.63764E-03, 2.70909E-03
-3.86032E-08, 3.873956E-02, -4.21378E-03, 3.80510E-03
-3.85782E-08, 2.398558E-02, -2.52761E-03, 3.97372E-03
-3.85532E-08, 1.32768E-03, -1.78991E-03, 3.29925E-03
-3.85282E-08, -1.974943E-02, -2.31684E-03, 2.11893E-03
-3.85032E-08, -3.503034E-02, -3.26531E-03, 7.2784E-04
-3.84782E-08, -3.871884E-02, -4.31916E-03, -5.7894E-04
-3.84532E-08, -3.186877E-02, -4.63532E-03, -1.37987E-03
-3.84282E-08, -1.869558E-02, -4.42455E-03, -1.42202E-03
-3.84032E-08, -3.41467E-03, -3.47608E-03, -8.3186E-04
-3.83782E-08, 7.12389E-03, -2.21145E-03, 5.338E-05
-3.83532E-08, 1.081238E-02, -6.3067E-04, 1.10723E-03
-3.83282E-08, 6.07003E-03, 4.2319E-04, 1.99247E-03
-3.83032E-08, -1.83389E-03, 7.3935E-04, 2.54047E-03
-3.82782E-08, -1.131859E-02, 3.1780E-04, 2.62478E-03
-3.82532E-08, -1.764172E-02, -6.3067E-04, 2.37186E-03
-3.82282E-08, -1.816865E-02, -1.89529E-03, 2.07678E-03
-3.82032E-08, -1.448016E-02, -3.15992E-03, 1.78170E-03
-3.81782E-08, -1.83389E-03, -4.31916E-03, 1.48662E-03
-3.81532E-08, 1.292009E-02, -5.05686E-03, 1.19154E-03
-3.81282E-08, 2.820100E-02, -5.37302E-03, 1.23369E-03
-3.81032E-08, 4.348191E-02, -4.95148E-03, 1.23369E-03
-3.80782E-08, 5.507432E-02, -4.10839E-03, 1.10723E-03
-3.80532E-08, 6.139746E-02, -2.84376E-03, 9.3861E-04
-3.80282E-08, 6.087053E-02, -9.4682E-04, 6.8569E-04
-3.80032E-08, 5.243969E-02, 7.3935E-04, 2.2199E-04
-3.79782E-08, 3.610492E-02, 2.53090E-03, -3.6817E-04
-3.79532E-08, 1.397395E-02, 3.69014E-03, -1.04263E-03
-3.79282E-08, -1.184552E-02, 4.21707E-03, -1.67495E-03
-3.79032E-08, -3.713806E-02, 3.58476E-03, -2.22295E-03
-3.78782E-08, -5.505360E-02, 2.42551E-03, -2.56019E-03
-3.78532E-08, -6.453831E-02, 7.3935E-04, -2.39157E-03
-3.78282E-08, -6.137674E-02, -9.4682E-04, -1.71710E-03
-3.78032E-08, -4.925739E-02, -1.89529E-03, -6.2109E-04
-3.77782E-08, -3.186877E-02, -1.68452E-03, 6.4353E-04
-3.77532E-08, -1.184552E-02, -6.3067E-04, 1.86601E-03
-3.77282E-08, 8.0075E-04, 1.47704E-03, 2.54047E-03
-3.77032E-08, 6.07003E-03, 3.79553E-03, 2.54047E-03
-3.76782E-08, 5.01618E-03, 5.79785E-03, 1.73954E-03
-3.76532E-08, -3.41467E-03, 7.27325E-03, 4.7492E-04
-3.76282E-08, -1.237244E-02, 7.69479E-03, -7.4756E-04
-3.76032E-08, -1.922251E-02, 6.85171E-03, -1.54849E-03
-3.75782E-08, -1.922251E-02, 5.58708E-03, -1.88572E-03
