,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,32015,32015,32015
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-7.0000000000E-08,-7.0000000000E-08,-7.0000000000E-08
XInc:               ,6.250000E-12,6.250000E-12,6.250000E-12
XOrg:               ,-7.0050458098E-08,-7.0050458098E-08,-7.0050458098E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,6.40000E-01
YDispOrg:           ,-3.00000000000000E+00,-6.99999988079071E-01,2.95300006866455E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.0538557035034E-05
YOrg:               ,-2.88354070588684E+00,-6.76708141498989E-01,3.04616743078784E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,12 NOV 2024,12 NOV 2024,12 NOV 2024
Time:               ,10:07:52,10:07:52,10:07:52
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-7.00505E-08, 8.76641E-03, 6.40115E-03, 2.11800E-03
-7.00442E-08, 1.140105E-02, 5.13652E-03, 2.03369E-03
-7.00380E-08, 1.245491E-02, 3.97728E-03, 1.82292E-03
-7.00317E-08, 1.403569E-02, 3.02881E-03, 1.65431E-03
-7.00255E-08, 1.508955E-02, 1.76418E-03, 1.52784E-03
-7.00192E-08, 1.508955E-02, 8.1571E-04, 1.27492E-03
-7.00130E-08, 1.614340E-02, -2.3814E-04, 1.14845E-03
-7.00067E-08, 1.667033E-02, -1.18661E-03, 1.02199E-03
-7.00005E-08, 1.719726E-02, -2.13508E-03, 8.1122E-04
-6.99942E-08, 1.719726E-02, -2.87278E-03, 6.4260E-04
-6.99880E-08, 1.667033E-02, -3.39971E-03, 5.1614E-04
-6.99817E-08, 1.614340E-02, -3.82125E-03, 4.7399E-04
-6.99755E-08, 1.456262E-02, -4.13741E-03, 3.8968E-04
-6.99692E-08, 1.403569E-02, -4.45356E-03, 3.4752E-04
-6.99630E-08, 1.350876E-02, -4.55895E-03, 4.3183E-04
-6.99567E-08, 1.192798E-02, -4.55895E-03, 4.7399E-04
-6.99505E-08, 1.087412E-02, -4.66434E-03, 6.4260E-04
-6.99442E-08, 9.82027E-03, -4.45356E-03, 7.2691E-04
-6.99380E-08, 8.23948E-03, -4.13741E-03, 9.3768E-04
-6.99317E-08, 7.18563E-03, -3.82125E-03, 1.19061E-03
-6.99255E-08, 5.60485E-03, -3.50509E-03, 1.44353E-03
-6.99192E-08, 4.02406E-03, -3.18894E-03, 1.73861E-03
-6.99130E-08, 2.44328E-03, -2.76740E-03, 2.11800E-03
-6.99067E-08, 1.38942E-03, -2.55662E-03, 2.41308E-03
-6.99005E-08, 8.6249E-04, -2.02970E-03, 2.66601E-03
-6.98942E-08, -1.24522E-03, -1.81893E-03, 3.04540E-03
-6.98880E-08, -2.29907E-03, -1.50277E-03, 3.46694E-03
-6.98817E-08, -3.35293E-03, -1.39738E-03, 3.80417E-03
-6.98755E-08, -3.35293E-03, -1.08123E-03, 4.05710E-03
-6.98692E-08, -5.98757E-03, -1.29200E-03, 4.35218E-03
-6.98630E-08, -7.04142E-03, -1.29200E-03, 4.60510E-03
-6.98567E-08, -7.04142E-03, -1.18661E-03, 4.85803E-03
-6.98505E-08, -8.62221E-03, -1.60815E-03, 4.94234E-03
-6.98442E-08, -9.14914E-03, -1.60815E-03, 5.02664E-03
-6.98380E-08, -8.62221E-03, -2.02970E-03, 5.15311E-03
-6.98317E-08, -1.020299E-02, -2.55662E-03, 5.11095E-03
-6.98255E-08, -1.072992E-02, -2.76740E-03, 5.06880E-03
-6.98192E-08, -1.125685E-02, -3.39971E-03, 4.94234E-03
-6.98130E-08, -1.125685E-02, -3.92664E-03, 4.73156E-03
-6.98067E-08, -1.231070E-02, -4.45356E-03, 4.56295E-03
-6.98005E-08, -1.178377E-02, -4.98049E-03, 4.18356E-03
-6.97942E-08, -1.389149E-02, -5.61281E-03, 3.88848E-03
-6.97880E-08, -1.441841E-02, -5.92896E-03, 3.55125E-03
-6.97817E-08, -1.494534E-02, -6.45589E-03, 3.04540E-03
-6.97755E-08, -1.652613E-02, -6.77205E-03, 2.62385E-03
-6.97692E-08, -1.757998E-02, -7.19359E-03, 2.20231E-03
-6.97630E-08, -1.705305E-02, -7.29898E-03, 1.61215E-03
-6.97567E-08, -1.916077E-02, -7.61513E-03, 1.14845E-03
-6.97505E-08, -2.074155E-02, -7.82590E-03, 6.4260E-04
-6.97442E-08, -2.232233E-02, -7.93129E-03, 2.2106E-04
-6.97380E-08, -2.390312E-02, -7.72052E-03, -3.2694E-04
-6.97317E-08, -2.548390E-02, -7.72052E-03, -7.0633E-04
-6.97255E-08, -2.653776E-02, -7.50975E-03, -1.08572E-03
-6.97192E-08, -2.864547E-02, -7.29898E-03, -1.46511E-03
-6.97130E-08, -3.022625E-02, -6.98282E-03, -1.76019E-03
-6.97067E-08, -3.075318E-02, -6.77205E-03, -2.01311E-03
-6.97005E-08, -3.233396E-02, -6.13973E-03, -2.26604E-03
-6.96942E-08, -3.444167E-02, -5.71819E-03, -2.39250E-03
-6.96880E-08, -3.602246E-02, -5.40204E-03, -2.47681E-03
-6.96817E-08, -3.707631E-02, -5.08588E-03, -2.56112E-03
-6.96755E-08, -3.707631E-02, -4.66434E-03, -2.51896E-03
-6.96692E-08, -3.918403E-02, -4.24279E-03, -2.47681E-03
-6.96630E-08, -3.971095E-02, -4.03202E-03, -2.35035E-03
-6.96567E-08, -4.076481E-02, -3.82125E-03, -2.22388E-03
-6.96505E-08, -4.129174E-02, -3.71587E-03, -2.09742E-03
-6.96442E-08, -4.234559E-02, -3.50509E-03, -1.84450E-03
-6.96380E-08, -4.181866E-02, -3.61048E-03, -1.67588E-03
-6.96317E-08, -4.234559E-02, -3.61048E-03, -1.42295E-03
-6.96255E-08, -4.287252E-02, -3.82125E-03, -1.21218E-03
-6.96192E-08, -4.234559E-02, -4.13741E-03, -9.5926E-04
-6.96130E-08, -4.339945E-02, -4.66434E-03, -7.0633E-04
-6.96067E-08, -4.287252E-02, -4.98049E-03, -4.5341E-04
-6.96005E-08, -4.181866E-02, -5.61281E-03, -3.2694E-04
-6.95942E-08, -4.287252E-02, -6.24512E-03, -3.186E-05
-6.95880E-08, -4.181866E-02, -7.08820E-03, 1.3675E-04
-6.95817E-08, -4.181866E-02, -7.72052E-03, 2.2106E-04
-6.95755E-08, -4.129174E-02, -8.45822E-03, 3.4752E-04
-6.95692E-08, -4.129174E-02, -9.30130E-03, 4.3183E-04
-6.95630E-08, -4.076481E-02, -1.014439E-02, 4.3183E-04
-6.95567E-08, -3.971095E-02, -1.077670E-02, 5.5830E-04
-6.95505E-08, -4.023788E-02, -1.151440E-02, 6.0045E-04
-6.95442E-08, -4.023788E-02, -1.214671E-02, 5.5830E-04
-6.95380E-08, -3.971095E-02, -1.267364E-02, 5.5830E-04
-6.95317E-08, -3.971095E-02, -1.320057E-02, 5.5830E-04
-6.95255E-08, -3.971095E-02, -1.351672E-02, 5.5830E-04
-6.95192E-08, -3.918403E-02, -1.383288E-02, 5.1614E-04
-6.95130E-08, -3.918403E-02, -1.404365E-02, 5.1614E-04
-6.95067E-08, -3.865710E-02, -1.414904E-02, 4.7399E-04
-6.95005E-08, -3.813017E-02, -1.383288E-02, 4.7399E-04
-6.94942E-08, -3.813017E-02, -1.372750E-02, 4.7399E-04
-6.94880E-08, -3.707631E-02, -1.330595E-02, 5.5830E-04
-6.94817E-08, -3.654939E-02, -1.267364E-02, 6.0045E-04
-6.94755E-08, -3.496860E-02, -1.225210E-02, 6.8476E-04
-6.94692E-08, -3.391474E-02, -1.161978E-02, 8.5338E-04
-6.94630E-08, -3.180704E-02, -1.056593E-02, 1.02199E-03
-6.94567E-08, -3.022625E-02, -9.93362E-03, 1.27492E-03
-6.94505E-08, -2.811854E-02, -8.77437E-03, 1.48569E-03
-6.94442E-08, -2.443004E-02, -7.72052E-03, 1.61215E-03
-6.94380E-08, -2.126848E-02, -6.87743E-03, 1.82292E-03
-6.94317E-08, -1.863384E-02, -5.82358E-03, 2.03369E-03
-6.94255E-08, -1.441841E-02, -4.76972E-03, 2.32877E-03
-6.94192E-08, -1.125685E-02, -3.71587E-03, 2.62385E-03
-6.94130E-08, -6.51450E-03, -2.66201E-03, 2.91893E-03
-6.94067E-08, -2.29907E-03, -1.92431E-03, 3.17186E-03
-6.94005E-08, 2.44328E-03, -8.7046E-04, 3.34047E-03
-6.93942E-08, 6.13177E-03, 7.801E-05, 3.55125E-03
-6.93880E-08, 1.087412E-02, 8.1571E-04, 3.71986E-03
-6.93817E-08, 1.614340E-02, 1.23726E-03, 3.80417E-03
-6.93755E-08, 2.141268E-02, 1.76418E-03, 3.88848E-03
-6.93692E-08, 2.404732E-02, 2.18573E-03, 3.88848E-03
-6.93630E-08, 2.878967E-02, 2.39650E-03, 3.84633E-03
-6.93567E-08, 3.195124E-02, 2.50188E-03, 3.76202E-03
-6.93505E-08, 3.563973E-02, 2.60727E-03, 3.63555E-03
-6.93442E-08, 3.880130E-02, 2.39650E-03, 3.29832E-03
-6.93380E-08, 4.143594E-02, 2.18573E-03, 3.12970E-03
-6.93317E-08, 4.301672E-02, 1.65880E-03, 2.70816E-03
-6.93255E-08, 4.512443E-02, 1.02648E-03, 2.24446E-03
-6.93192E-08, 4.512443E-02, 1.8340E-04, 1.86508E-03
-6.93130E-08, 4.459751E-02, -3.4353E-04, 1.35923E-03
-6.93067E-08, 4.354365E-02, -1.18661E-03, 8.5338E-04
-6.93005E-08, 4.407058E-02, -2.02970E-03, 2.2106E-04
-6.92942E-08, 4.196287E-02, -3.18894E-03, -3.2694E-04
-6.92880E-08, 3.880130E-02, -4.24279E-03, -1.08572E-03
-6.92817E-08, 3.669359E-02, -5.40204E-03, -1.67588E-03
-6.92755E-08, 3.247816E-02, -6.56128E-03, -2.26604E-03
-6.92692E-08, 2.826274E-02, -7.61513E-03, -2.81404E-03
-6.92630E-08, 2.562810E-02, -8.66899E-03, -3.44636E-03
-6.92567E-08, 2.088575E-02, -9.82823E-03, -3.95221E-03
-6.92505E-08, 1.614340E-02, -1.109286E-02, -4.33159E-03
-6.92442E-08, 1.192798E-02, -1.225210E-02, -4.83745E-03
-6.92380E-08, 8.23948E-03, -1.309518E-02, -5.13253E-03
-6.92317E-08, 2.97021E-03, -1.393827E-02, -5.46976E-03
-6.92255E-08, -1.24522E-03, -1.488674E-02, -5.68053E-03
-6.92192E-08, -5.46064E-03, -1.572982E-02, -5.76484E-03
-6.92130E-08, -8.62221E-03, -1.636213E-02, -5.84915E-03
-6.92067E-08, -1.231070E-02, -1.709983E-02, -5.76484E-03
-6.92005E-08, -1.336456E-02, -1.720522E-02, -5.63838E-03
-6.91942E-08, -1.652613E-02, -1.773215E-02, -5.42761E-03
-6.91880E-08, -1.757998E-02, -1.804830E-02, -5.04822E-03
-6.91817E-08, -1.810691E-02, -1.762676E-02, -4.79529E-03
-6.91755E-08, -1.810691E-02, -1.773215E-02, -4.41590E-03
-6.91692E-08, -1.863384E-02, -1.752138E-02, -3.91005E-03
-6.91630E-08, -1.652613E-02, -1.678368E-02, -3.31989E-03
-6.91567E-08, -1.441841E-02, -1.646752E-02, -2.77189E-03
-6.91505E-08, -1.336456E-02, -1.572982E-02, -2.09742E-03
-6.91442E-08, -1.072992E-02, -1.467597E-02, -1.50726E-03
-6.91380E-08, -8.09528E-03, -1.362211E-02, -8.3279E-04
-6.91317E-08, -4.40678E-03, -1.225210E-02, -1.1617E-04
-6.91255E-08, -7.1829E-04, -1.098747E-02, 5.1614E-04
-6.91192E-08, 4.02406E-03, -9.61746E-03, 1.23276E-03
-6.91130E-08, 7.71256E-03, -7.93129E-03, 1.73861E-03
-6.91067E-08, 1.034720E-02, -6.35051E-03, 2.37093E-03
-6.91005E-08, 1.456262E-02, -4.45356E-03, 2.96109E-03
-6.90942E-08, 1.667033E-02, -2.76740E-03, 3.46694E-03
-6.90880E-08, 2.035883E-02, -7.6507E-04, 3.93063E-03
-6.90817E-08, 2.246654E-02, 1.13187E-03, 4.31002E-03
-6.90755E-08, 2.510118E-02, 3.02881E-03, 4.68941E-03
-6.90692E-08, 2.615503E-02, 4.92575E-03, 4.94234E-03
-6.90630E-08, 2.615503E-02, 6.82269E-03, 5.19526E-03
-6.90567E-08, 2.668196E-02, 8.50886E-03, 5.40603E-03
-6.90505E-08, 2.562810E-02, 1.019503E-02, 5.61680E-03
-6.90442E-08, 2.510118E-02, 1.188120E-02, 5.61680E-03
-6.90380E-08, 2.299346E-02, 1.346198E-02, 5.65896E-03
-6.90317E-08, 2.088575E-02, 1.462122E-02, 5.65896E-03
-6.90255E-08, 1.772419E-02, 1.599124E-02, 5.61680E-03
-6.90192E-08, 1.456262E-02, 1.683432E-02, 5.53249E-03
-6.90130E-08, 1.034720E-02, 1.746663E-02, 5.44819E-03
-6.90067E-08, 6.13177E-03, 1.820433E-02, 5.27957E-03
-6.90005E-08, 1.91635E-03, 1.873126E-02, 5.11095E-03
-6.89942E-08, -3.87986E-03, 1.873126E-02, 4.98449E-03
-6.89880E-08, -8.62221E-03, 1.883665E-02, 4.85803E-03
-6.89817E-08, -1.389149E-02, 1.841510E-02, 4.64726E-03
-6.89755E-08, -1.863384E-02, 1.799356E-02, 4.47864E-03
-6.89692E-08, -2.337619E-02, 1.736125E-02, 4.31002E-03
-6.89630E-08, -2.759161E-02, 1.662355E-02, 4.14140E-03
-6.89567E-08, -3.180704E-02, 1.556969E-02, 4.01494E-03
-6.89505E-08, -3.549553E-02, 1.419968E-02, 3.97279E-03
-6.89442E-08, -3.918403E-02, 1.282967E-02, 3.84633E-03
-6.89380E-08, -4.129174E-02, 1.145966E-02, 3.63555E-03
-6.89317E-08, -4.339945E-02, 9.77349E-03, 3.63555E-03
-6.89255E-08, -4.498023E-02, 8.08732E-03, 3.50909E-03
-6.89192E-08, -4.656101E-02, 6.19038E-03, 3.34047E-03
-6.89130E-08, -4.656101E-02, 4.39882E-03, 3.29832E-03
-6.89067E-08, -4.603409E-02, 2.60727E-03, 3.21401E-03
-6.89005E-08, -4.445330E-02, 8.1571E-04, 3.08755E-03
-6.88942E-08, -4.392638E-02, -1.08123E-03, 3.04540E-03
-6.88880E-08, -4.076481E-02, -2.76740E-03, 2.96109E-03
-6.88817E-08, -3.813017E-02, -4.55895E-03, 2.83462E-03
-6.88755E-08, -3.496860E-02, -6.13973E-03, 2.70816E-03
-6.88692E-08, -3.180704E-02, -7.61513E-03, 2.66601E-03
-6.88630E-08, -2.706468E-02, -9.09053E-03, 2.45524E-03
-6.88567E-08, -2.390312E-02, -1.035516E-02, 2.32877E-03
-6.88505E-08, -1.916077E-02, -1.140901E-02, 2.16016E-03
-6.88442E-08, -1.441841E-02, -1.246287E-02, 1.99154E-03
-6.88380E-08, -9.67606E-03, -1.341134E-02, 1.65431E-03
-6.88317E-08, -5.98757E-03, -1.404365E-02, 1.44353E-03
-6.88255E-08, -7.1829E-04, -1.446519E-02, 1.23276E-03
-6.88192E-08, 3.49713E-03, -1.509751E-02, 1.02199E-03
-6.88130E-08, 7.18563E-03, -1.541366E-02, 7.2691E-04
-6.88067E-08, 1.034720E-02, -1.562444E-02, 4.3183E-04
-6.88005E-08, 1.403569E-02, -1.541366E-02, 2.2106E-04
-6.87942E-08, 1.719726E-02, -1.541366E-02, -1.1617E-04
-6.87880E-08, 1.930497E-02, -1.520289E-02, -3.6910E-04
-6.87817E-08, 2.193961E-02, -1.488674E-02, -6.2202E-04
-6.87755E-08, 2.352039E-02, -1.457058E-02, -9.1710E-04
-6.87692E-08, 2.457425E-02, -1.414904E-02, -1.12787E-03
-6.87630E-08, 2.510118E-02, -1.372750E-02, -1.33864E-03
-6.87567E-08, 2.510118E-02, -1.320057E-02, -1.54942E-03
-6.87505E-08, 2.510118E-02, -1.277903E-02, -1.63372E-03
-6.87442E-08, 2.404732E-02, -1.225210E-02, -1.80234E-03
-6.87380E-08, 2.299346E-02, -1.161978E-02, -1.97096E-03
-6.87317E-08, 2.088575E-02, -1.098747E-02, -2.01311E-03
-6.87255E-08, 1.930497E-02, -1.024977E-02, -2.09742E-03
-6.87192E-08, 1.719726E-02, -9.82823E-03, -2.18173E-03
-6.87130E-08, 1.403569E-02, -9.30130E-03, -2.13958E-03
-6.87067E-08, 1.192798E-02, -8.66899E-03, -2.13958E-03
-6.87005E-08, 8.23948E-03, -7.93129E-03, -2.05527E-03
-6.86942E-08, 4.02406E-03, -7.50975E-03, -2.05527E-03
-6.86880E-08, 2.44328E-03, -6.87743E-03, -1.97096E-03
-6.86817E-08, -3.87986E-03, -6.13973E-03, -1.88665E-03
-6.86755E-08, -5.98757E-03, -5.50742E-03, -1.71803E-03
-6.86692E-08, -1.020299E-02, -4.76972E-03, -1.59157E-03
-6.86630E-08, -1.494534E-02, -4.13741E-03, -1.50726E-03
-6.86567E-08, -1.863384E-02, -3.61048E-03, -1.33864E-03
-6.86505E-08, -2.337619E-02, -2.97817E-03, -1.21218E-03
-6.86442E-08, -2.653776E-02, -2.13508E-03, -1.04357E-03
-6.86380E-08, -3.022625E-02, -1.50277E-03, -8.7495E-04
-6.86317E-08, -3.338782E-02, -8.7046E-04, -7.9064E-04
-6.86255E-08, -3.813017E-02, -2.737E-05, -6.6418E-04
-6.86192E-08, -4.234559E-02, 6.0494E-04, -4.9556E-04
-6.86130E-08, -4.445330E-02, 1.23726E-03, -3.2694E-04
-6.86067E-08, -4.814180E-02, 1.86957E-03, -2.4263E-04
-6.86005E-08, -5.077644E-02, 2.60727E-03, -1.5833E-04
-6.85942E-08, -5.341108E-02, 2.92343E-03, -3.186E-05
-6.85880E-08, -5.499186E-02, 3.45035E-03, 1.3675E-04
-6.85817E-08, -5.762650E-02, 3.97728E-03, 1.3675E-04
-6.85755E-08, -5.868036E-02, 4.50421E-03, 2.6322E-04
-6.85692E-08, -6.078807E-02, 4.92575E-03, 3.8968E-04
