,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,32015,32015,32015
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-7.0000000000E-08,-7.0000000000E-08,-7.0000000000E-08
XInc:               ,6.250000E-12,6.250000E-12,6.250000E-12
XOrg:               ,-7.0038910519E-08,-7.0038910519E-08,-7.0038910519E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,6.40000E-01
YDispOrg:           ,-3.00000000000000E+00,-6.99999988079071E-01,2.95300006866455E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.0538557035034E-05
YOrg:               ,-2.88354070588684E+00,-6.76708141498989E-01,3.04616743078784E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,12 NOV 2024,12 NOV 2024,12 NOV 2024
Time:               ,10:36:21,10:36:21,10:36:21
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-7.00389E-08, -3.654939E-02, -9.40669E-03, -1.12787E-03
-7.00327E-08, -3.760324E-02, -8.66899E-03, -1.08572E-03
-7.00264E-08, -3.813017E-02, -7.82590E-03, -9.1710E-04
-7.00202E-08, -3.865710E-02, -7.19359E-03, -7.4849E-04
-7.00139E-08, -3.865710E-02, -6.45589E-03, -6.2202E-04
-7.00077E-08, -3.813017E-02, -5.61281E-03, -4.9556E-04
-7.00014E-08, -3.707631E-02, -4.87511E-03, -2.8479E-04
-6.99952E-08, -3.654939E-02, -4.24279E-03, -1.5833E-04
-6.99889E-08, -3.496860E-02, -3.50509E-03, 5.244E-05
-6.99827E-08, -3.444167E-02, -2.76740E-03, 1.7891E-04
-6.99764E-08, -3.128011E-02, -2.13508E-03, 2.6322E-04
-6.99702E-08, -3.022625E-02, -1.50277E-03, 3.4752E-04
-6.99639E-08, -2.759161E-02, -9.7584E-04, 3.4752E-04
-6.99577E-08, -2.653776E-02, -2.3814E-04, 3.8968E-04
-6.99514E-08, -2.390312E-02, 1.8340E-04, 4.7399E-04
-6.99452E-08, -2.126848E-02, 4.9956E-04, 4.3183E-04
-6.99389E-08, -2.021462E-02, 8.1571E-04, 3.4752E-04
-6.99327E-08, -1.863384E-02, 9.2110E-04, 2.6322E-04
-6.99264E-08, -1.599920E-02, 1.23726E-03, 2.2106E-04
-6.99202E-08, -1.547227E-02, 1.23726E-03, 5.244E-05
-6.99139E-08, -1.336456E-02, 1.34264E-03, 1.029E-05
-6.99077E-08, -1.283763E-02, 1.02648E-03, -1.1617E-04
-6.99014E-08, -1.283763E-02, 1.02648E-03, -2.0048E-04
-6.98952E-08, -1.178377E-02, 8.1571E-04, -2.8479E-04
-6.98889E-08, -1.178377E-02, 1.8340E-04, -4.1125E-04
-6.98827E-08, -1.178377E-02, 7.801E-05, -4.1125E-04
-6.98764E-08, -1.283763E-02, -5.5430E-04, -4.9556E-04
-6.98702E-08, -1.336456E-02, -1.18661E-03, -4.5341E-04
-6.98639E-08, -1.336456E-02, -1.71354E-03, -4.5341E-04
-6.98577E-08, -1.547227E-02, -2.34585E-03, -4.1125E-04
-6.98514E-08, -1.652613E-02, -2.97817E-03, -2.4263E-04
-6.98452E-08, -1.705305E-02, -3.82125E-03, -7.402E-05
-6.98389E-08, -1.863384E-02, -4.45356E-03, 1.3675E-04
-6.98327E-08, -1.968769E-02, -5.29665E-03, 4.3183E-04
-6.98264E-08, -2.074155E-02, -6.13973E-03, 7.2691E-04
-6.98202E-08, -2.074155E-02, -6.66666E-03, 1.06415E-03
-6.98139E-08, -2.074155E-02, -7.61513E-03, 1.44353E-03
-6.98077E-08, -2.232233E-02, -8.24745E-03, 1.86508E-03
-6.98014E-08, -2.179541E-02, -8.77437E-03, 2.28662E-03
-6.97952E-08, -2.126848E-02, -9.30130E-03, 2.75032E-03
-6.97889E-08, -1.968769E-02, -9.72284E-03, 3.12970E-03
-6.97827E-08, -2.021462E-02, -1.035516E-02, 3.59340E-03
-6.97764E-08, -1.810691E-02, -1.056593E-02, 4.05710E-03
-6.97702E-08, -1.652613E-02, -1.098747E-02, 4.39433E-03
-6.97639E-08, -1.494534E-02, -1.098747E-02, 4.73156E-03
-6.97577E-08, -1.283763E-02, -1.109286E-02, 5.06880E-03
-6.97514E-08, -1.020299E-02, -1.119824E-02, 5.44819E-03
-6.97452E-08, -7.56835E-03, -1.088209E-02, 5.65896E-03
-6.97389E-08, -5.46064E-03, -1.077670E-02, 5.86973E-03
-6.97327E-08, -2.29907E-03, -1.035516E-02, 6.03834E-03
-6.97264E-08, 3.3557E-04, -9.72284E-03, 6.03834E-03
-6.97202E-08, 2.97021E-03, -9.40669E-03, 6.12265E-03
-6.97139E-08, 5.60485E-03, -8.77437E-03, 6.03834E-03
-6.97077E-08, 6.65870E-03, -8.03667E-03, 5.99619E-03
-6.97014E-08, 7.18563E-03, -7.19359E-03, 5.86973E-03
-6.96952E-08, 8.76641E-03, -6.35051E-03, 5.78542E-03
-6.96889E-08, 1.034720E-02, -5.29665E-03, 5.44819E-03
-6.96827E-08, 8.76641E-03, -4.45356E-03, 5.19526E-03
-6.96764E-08, 8.76641E-03, -3.39971E-03, 4.90018E-03
-6.96702E-08, 7.18563E-03, -2.45124E-03, 4.60510E-03
-6.96639E-08, 6.65870E-03, -1.50277E-03, 4.22571E-03
-6.96577E-08, 3.49713E-03, -3.4353E-04, 3.84633E-03
-6.96514E-08, -1.9136E-04, 6.0494E-04, 3.55125E-03
-6.96452E-08, -3.87986E-03, 1.55341E-03, 3.21401E-03
-6.96389E-08, -7.56835E-03, 2.60727E-03, 2.87678E-03
-6.96327E-08, -1.125685E-02, 3.66112E-03, 2.58170E-03
-6.96264E-08, -1.599920E-02, 4.50421E-03, 2.28662E-03
-6.96202E-08, -2.126848E-02, 5.03114E-03, 2.07585E-03
-6.96139E-08, -2.653776E-02, 6.08499E-03, 1.78077E-03
-6.96077E-08, -3.180704E-02, 6.71731E-03, 1.61215E-03
-6.96014E-08, -3.707631E-02, 7.13885E-03, 1.44353E-03
-6.95952E-08, -4.339945E-02, 7.56039E-03, 1.27492E-03
-6.95889E-08, -4.656101E-02, 8.08732E-03, 1.19061E-03
-6.95827E-08, -5.183030E-02, 8.40348E-03, 1.23276E-03
-6.95764E-08, -5.657265E-02, 8.61425E-03, 1.10630E-03
-6.95702E-08, -6.026114E-02, 8.61425E-03, 1.06415E-03
-6.95639E-08, -6.236885E-02, 8.71963E-03, 1.10630E-03
-6.95577E-08, -6.500349E-02, 8.40348E-03, 1.14845E-03
-6.95514E-08, -6.658427E-02, 8.29809E-03, 1.10630E-03
-6.95452E-08, -6.816506E-02, 7.98193E-03, 1.14845E-03
-6.95389E-08, -6.921891E-02, 7.66578E-03, 1.19061E-03
-6.95327E-08, -6.869198E-02, 7.13885E-03, 1.10630E-03
-6.95264E-08, -6.658427E-02, 6.71731E-03, 1.10630E-03
-6.95202E-08, -6.500349E-02, 6.08499E-03, 1.10630E-03
-6.95139E-08, -6.236885E-02, 5.45268E-03, 1.06415E-03
-6.95077E-08, -5.815343E-02, 4.92575E-03, 9.7984E-04
-6.95014E-08, -5.551879E-02, 3.87190E-03, 9.3768E-04
-6.94952E-08, -5.183030E-02, 3.13420E-03, 8.5338E-04
-6.94889E-08, -4.603409E-02, 2.60727E-03, 6.0045E-04
-6.94827E-08, -4.234559E-02, 1.65880E-03, 4.7399E-04
-6.94764E-08, -3.760324E-02, 9.2110E-04, 2.2106E-04
-6.94702E-08, -3.180704E-02, 1.8340E-04, 9.460E-05
-6.94639E-08, -2.759161E-02, -4.4891E-04, -1.5833E-04
-6.94577E-08, -2.284926E-02, -1.29200E-03, -4.9556E-04
-6.94514E-08, -1.810691E-02, -1.92431E-03, -7.0633E-04
-6.94452E-08, -1.441841E-02, -2.55662E-03, -9.5926E-04
-6.94389E-08, -1.072992E-02, -3.08355E-03, -1.17003E-03
-6.94327E-08, -6.51450E-03, -3.61048E-03, -1.42295E-03
-6.94264E-08, -3.35293E-03, -4.13741E-03, -1.59157E-03
-6.94202E-08, -7.1829E-04, -4.66434E-03, -1.84450E-03
-6.94139E-08, 1.38942E-03, -4.98049E-03, -2.01311E-03
-6.94077E-08, 2.44328E-03, -5.40204E-03, -2.13958E-03
-6.94014E-08, 2.97021E-03, -5.71819E-03, -2.22388E-03
-6.93952E-08, 2.97021E-03, -5.92896E-03, -2.26604E-03
-6.93889E-08, 3.49713E-03, -6.03435E-03, -2.26604E-03
-6.93827E-08, 2.44328E-03, -6.13973E-03, -2.18173E-03
-6.93764E-08, 1.38942E-03, -6.24512E-03, -2.18173E-03
-6.93702E-08, 8.6249E-04, -6.24512E-03, -1.92880E-03
-6.93639E-08, -7.1829E-04, -6.24512E-03, -1.88665E-03
-6.93577E-08, -2.29907E-03, -6.24512E-03, -1.63372E-03
-6.93514E-08, -5.46064E-03, -5.92896E-03, -1.42295E-03
-6.93452E-08, -7.04142E-03, -6.03435E-03, -1.08572E-03
-6.93389E-08, -9.14914E-03, -6.03435E-03, -8.3279E-04
-6.93327E-08, -1.125685E-02, -5.82358E-03, -4.9556E-04
-6.93264E-08, -1.283763E-02, -5.61281E-03, -1.5833E-04
-6.93202E-08, -1.547227E-02, -5.61281E-03, 1.7891E-04
-6.93139E-08, -1.599920E-02, -5.29665E-03, 5.1614E-04
-6.93077E-08, -1.863384E-02, -5.29665E-03, 8.9553E-04
-6.93014E-08, -1.916077E-02, -5.29665E-03, 1.23276E-03
-6.92952E-08, -2.021462E-02, -5.19126E-03, 1.57000E-03
-6.92889E-08, -1.968769E-02, -5.08588E-03, 1.82292E-03
-6.92827E-08, -2.126848E-02, -5.19126E-03, 2.07585E-03
-6.92764E-08, -2.126848E-02, -5.08588E-03, 2.41308E-03
-6.92702E-08, -2.126848E-02, -5.08588E-03, 2.62385E-03
-6.92639E-08, -2.179541E-02, -4.98049E-03, 2.75032E-03
-6.92577E-08, -2.074155E-02, -5.08588E-03, 2.96109E-03
-6.92514E-08, -2.021462E-02, -5.19126E-03, 3.08755E-03
-6.92452E-08, -1.968769E-02, -5.29665E-03, 3.17186E-03
-6.92389E-08, -1.916077E-02, -5.40204E-03, 3.21401E-03
-6.92327E-08, -1.810691E-02, -5.40204E-03, 3.34047E-03
-6.92264E-08, -1.810691E-02, -5.29665E-03, 3.25617E-03
-6.92202E-08, -1.705305E-02, -5.40204E-03, 3.21401E-03
-6.92139E-08, -1.652613E-02, -5.40204E-03, 3.25617E-03
-6.92077E-08, -1.547227E-02, -5.40204E-03, 3.21401E-03
-6.92014E-08, -1.652613E-02, -5.19126E-03, 3.21401E-03
-6.91952E-08, -1.547227E-02, -5.19126E-03, 3.12970E-03
-6.91889E-08, -1.547227E-02, -4.98049E-03, 3.12970E-03
-6.91827E-08, -1.652613E-02, -4.87511E-03, 3.04540E-03
-6.91764E-08, -1.494534E-02, -4.66434E-03, 3.12970E-03
-6.91702E-08, -1.599920E-02, -4.24279E-03, 3.08755E-03
-6.91639E-08, -1.599920E-02, -3.92664E-03, 3.08755E-03
-6.91577E-08, -1.705305E-02, -3.71587E-03, 3.12970E-03
-6.91514E-08, -1.757998E-02, -3.08355E-03, 3.12970E-03
-6.91452E-08, -1.863384E-02, -2.87278E-03, 3.12970E-03
-6.91389E-08, -1.810691E-02, -2.45124E-03, 3.21401E-03
-6.91327E-08, -1.810691E-02, -1.81893E-03, 3.25617E-03
-6.91264E-08, -1.810691E-02, -1.39738E-03, 3.34047E-03
-6.91202E-08, -1.968769E-02, -9.7584E-04, 3.42478E-03
-6.91139E-08, -1.916077E-02, -6.5968E-04, 3.50909E-03
-6.91077E-08, -1.863384E-02, -3.4353E-04, 3.63555E-03
-6.91014E-08, -1.916077E-02, -2.737E-05, 3.67771E-03
-6.90952E-08, -1.916077E-02, 7.801E-05, 3.76202E-03
-6.90889E-08, -1.757998E-02, 3.9417E-04, 3.71986E-03
-6.90827E-08, -1.705305E-02, 2.8879E-04, 3.80417E-03
-6.90764E-08, -1.599920E-02, 2.8879E-04, 3.76202E-03
-6.90702E-08, -1.441841E-02, 1.8340E-04, 3.67771E-03
-6.90639E-08, -1.336456E-02, -2.737E-05, 3.50909E-03
-6.90577E-08, -1.178377E-02, -3.4353E-04, 3.46694E-03
-6.90514E-08, -9.14914E-03, -9.7584E-04, 3.34047E-03
-6.90452E-08, -9.14914E-03, -1.71354E-03, 3.04540E-03
-6.90389E-08, -6.51450E-03, -2.45124E-03, 2.87678E-03
-6.90327E-08, -5.46064E-03, -3.29432E-03, 2.62385E-03
-6.90264E-08, -3.87986E-03, -4.34818E-03, 2.28662E-03
-6.90202E-08, -1.77215E-03, -5.71819E-03, 1.99154E-03
-6.90139E-08, -7.1829E-04, -6.87743E-03, 1.69646E-03
-6.90077E-08, 3.3557E-04, -8.14206E-03, 1.31707E-03
-6.90014E-08, 1.38942E-03, -9.82823E-03, 9.7984E-04
-6.89952E-08, 1.91635E-03, -1.119824E-02, 6.0045E-04
-6.89889E-08, 2.97021E-03, -1.267364E-02, 1.7891E-04
-6.89827E-08, 1.91635E-03, -1.425442E-02, -3.186E-05
-6.89764E-08, 2.44328E-03, -1.583521E-02, -3.2694E-04
-6.89702E-08, 2.44328E-03, -1.731060E-02, -6.6418E-04
-6.89639E-08, 1.91635E-03, -1.868062E-02, -8.3279E-04
-6.89577E-08, 8.6249E-04, -2.005063E-02, -9.5926E-04
-6.89514E-08, -1.9136E-04, -2.131526E-02, -1.12787E-03
-6.89452E-08, -2.29907E-03, -2.247450E-02, -1.21218E-03
-6.89389E-08, -3.87986E-03, -2.342297E-02, -1.12787E-03
-6.89327E-08, -5.98757E-03, -2.437144E-02, -1.08572E-03
-6.89264E-08, -7.56835E-03, -2.479298E-02, -1.04357E-03
-6.89202E-08, -1.020299E-02, -2.531991E-02, -7.0633E-04
-6.89139E-08, -1.283763E-02, -2.553068E-02, -5.7987E-04
-6.89077E-08, -1.494534E-02, -2.563607E-02, -2.0048E-04
-6.89014E-08, -1.810691E-02, -2.521452E-02, 9.460E-05
-6.88952E-08, -2.021462E-02, -2.479298E-02, 4.7399E-04
-6.88889E-08, -2.179541E-02, -2.426605E-02, 8.9553E-04
-6.88827E-08, -2.443004E-02, -2.321220E-02, 1.27492E-03
-6.88764E-08, -2.653776E-02, -2.226373E-02, 1.69646E-03
-6.88702E-08, -2.864547E-02, -2.099910E-02, 2.07585E-03
-6.88639E-08, -2.917239E-02, -1.941832E-02, 2.37093E-03
-6.88577E-08, -3.128011E-02, -1.773215E-02, 2.87678E-03
-6.88514E-08, -3.180704E-02, -1.594059E-02, 3.08755E-03
-6.88452E-08, -3.286089E-02, -1.414904E-02, 3.38263E-03
-6.88389E-08, -3.233396E-02, -1.204133E-02, 3.63555E-03
-6.88327E-08, -3.286089E-02, -1.014439E-02, 3.80417E-03
-6.88264E-08, -3.180704E-02, -7.82590E-03, 3.80417E-03
-6.88202E-08, -3.180704E-02, -5.71819E-03, 3.80417E-03
-6.88139E-08, -3.128011E-02, -3.71587E-03, 3.71986E-03
-6.88077E-08, -3.075318E-02, -1.60815E-03, 3.50909E-03
-6.88014E-08, -2.917239E-02, 2.8879E-04, 3.25617E-03
-6.87952E-08, -2.706468E-02, 2.29111E-03, 2.96109E-03
-6.87889E-08, -2.548390E-02, 4.08267E-03, 2.49739E-03
-6.87827E-08, -2.390312E-02, 5.76884E-03, 2.03369E-03
-6.87764E-08, -2.232233E-02, 7.24423E-03, 1.44353E-03
-6.87702E-08, -1.968769E-02, 8.50886E-03, 7.6907E-04
-6.87639E-08, -1.863384E-02, 9.87887E-03, 9.460E-05
-6.87577E-08, -1.705305E-02, 1.103811E-02, -5.7987E-04
-6.87514E-08, -1.389149E-02, 1.188120E-02, -1.21218E-03
-6.87452E-08, -1.389149E-02, 1.230274E-02, -2.05527E-03
-6.87389E-08, -1.231070E-02, 1.282967E-02, -2.64543E-03
-6.87327E-08, -1.072992E-02, 1.314583E-02, -3.36205E-03
-6.87264E-08, -1.020299E-02, 1.335660E-02, -3.95221E-03
-6.87202E-08, -9.14914E-03, 1.314583E-02, -4.54237E-03
-6.87139E-08, -9.14914E-03, 1.314583E-02, -5.13253E-03
-6.87077E-08, -9.14914E-03, 1.272428E-02, -5.51191E-03
-6.87014E-08, -9.14914E-03, 1.219736E-02, -5.97561E-03
-6.86952E-08, -9.67606E-03, 1.156504E-02, -6.10207E-03
-6.86889E-08, -9.67606E-03, 1.103811E-02, -6.31284E-03
-6.86827E-08, -1.125685E-02, 1.030042E-02, -6.31284E-03
-6.86764E-08, -1.283763E-02, 9.45733E-03, -6.27069E-03
-6.86702E-08, -1.389149E-02, 8.50886E-03, -6.10207E-03
-6.86639E-08, -1.547227E-02, 7.66578E-03, -5.89130E-03
-6.86577E-08, -1.705305E-02, 6.71731E-03, -5.51191E-03
-6.86514E-08, -1.968769E-02, 5.97961E-03, -5.13253E-03
-6.86452E-08, -2.126848E-02, 4.71498E-03, -4.62667E-03
-6.86389E-08, -2.284926E-02, 3.87190E-03, -4.03652E-03
-6.86327E-08, -2.548390E-02, 3.02881E-03, -3.44636E-03
-6.86264E-08, -2.706468E-02, 2.29111E-03, -2.81404E-03
-6.86202E-08, -3.022625E-02, 1.44803E-03, -2.18173E-03
-6.86139E-08, -3.075318E-02, 7.1033E-04, -1.59157E-03
-6.86077E-08, -3.233396E-02, -2.737E-05, -8.3279E-04
-6.86014E-08, -3.391474E-02, -9.7584E-04, -2.0048E-04
-6.85952E-08, -3.496860E-02, -1.50277E-03, 4.7399E-04
-6.85889E-08, -3.549553E-02, -1.92431E-03, 9.3768E-04
-6.85827E-08, -3.602246E-02, -2.55662E-03, 1.44353E-03
-6.85764E-08, -3.654939E-02, -3.08355E-03, 1.90723E-03
-6.85702E-08, -3.602246E-02, -3.50509E-03, 2.32877E-03
-6.85639E-08, -3.549553E-02, -3.92664E-03, 2.58170E-03
-6.85577E-08, -3.444167E-02, -4.45356E-03, 2.79247E-03
