,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,32015,32015,32015
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-7.0000000000E-08,-7.0000000000E-08,-7.0000000000E-08
XInc:               ,6.250000E-12,6.250000E-12,6.250000E-12
XOrg:               ,-7.0011118609E-08,-7.0011118609E-08,-7.0011118609E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,6.40000E-01
YDispOrg:           ,-3.00000000000000E+00,-6.99999988079071E-01,2.95300006866455E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.0538557035034E-05
YOrg:               ,-2.88354070588684E+00,-6.76708141498989E-01,3.04616743078784E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,12 NOV 2024,12 NOV 2024,12 NOV 2024
Time:               ,10:37:40,10:37:40,10:37:40
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-7.00111E-08, -1.652613E-02, -5.92896E-03, 1.73861E-03
-7.00049E-08, -1.389149E-02, -5.82358E-03, 1.40138E-03
-6.99986E-08, -1.072992E-02, -5.71819E-03, 1.14845E-03
-6.99924E-08, -9.14914E-03, -5.40204E-03, 8.9553E-04
-6.99861E-08, -5.98757E-03, -5.19126E-03, 6.0045E-04
-6.99799E-08, -3.35293E-03, -4.76972E-03, 3.4752E-04
-6.99736E-08, 3.3557E-04, -4.45356E-03, 1.3675E-04
-6.99674E-08, 2.97021E-03, -3.92664E-03, -7.402E-05
-6.99611E-08, 6.13177E-03, -3.29432E-03, -2.4263E-04
-6.99549E-08, 7.71256E-03, -2.87278E-03, -4.5341E-04
-6.99486E-08, 9.29334E-03, -2.13508E-03, -4.9556E-04
-6.99424E-08, 1.192798E-02, -1.50277E-03, -5.7987E-04
-6.99361E-08, 1.298183E-02, -7.6507E-04, -6.2202E-04
-6.99299E-08, 1.298183E-02, -2.3814E-04, -6.2202E-04
-6.99236E-08, 1.456262E-02, 4.9956E-04, -7.0633E-04
-6.99174E-08, 1.456262E-02, 1.13187E-03, -6.6418E-04
-6.99111E-08, 1.403569E-02, 1.76418E-03, -6.2202E-04
-6.99049E-08, 1.245491E-02, 2.50188E-03, -6.2202E-04
-6.98986E-08, 1.087412E-02, 3.02881E-03, -5.3771E-04
-6.98924E-08, 9.29334E-03, 3.66112E-03, -4.1125E-04
-6.98861E-08, 6.65870E-03, 3.97728E-03, -2.4263E-04
-6.98799E-08, 4.55099E-03, 4.39882E-03, -1.1617E-04
-6.98736E-08, 1.91635E-03, 4.60959E-03, 5.244E-05
-6.98674E-08, -1.77215E-03, 4.92575E-03, 2.6322E-04
-6.98611E-08, -4.40678E-03, 5.03114E-03, 3.8968E-04
-6.98549E-08, -8.09528E-03, 4.92575E-03, 6.0045E-04
-6.98486E-08, -1.178377E-02, 4.71498E-03, 7.6907E-04
-6.98424E-08, -1.547227E-02, 4.60959E-03, 9.3768E-04
-6.98361E-08, -1.757998E-02, 4.39882E-03, 1.02199E-03
-6.98299E-08, -2.021462E-02, 3.87190E-03, 1.23276E-03
-6.98236E-08, -2.284926E-02, 3.34497E-03, 1.35923E-03
-6.98174E-08, -2.495697E-02, 2.71265E-03, 1.57000E-03
-6.98111E-08, -2.706468E-02, 1.97495E-03, 1.65431E-03
-6.98049E-08, -2.706468E-02, 1.13187E-03, 1.78077E-03
-6.97986E-08, -2.811854E-02, 2.8879E-04, 1.94939E-03
-6.97924E-08, -2.811854E-02, -5.5430E-04, 1.94939E-03
-6.97861E-08, -2.601083E-02, -1.50277E-03, 2.07585E-03
-6.97799E-08, -2.548390E-02, -2.66201E-03, 2.11800E-03
-6.97736E-08, -2.443004E-02, -3.50509E-03, 2.24446E-03
-6.97674E-08, -2.179541E-02, -4.55895E-03, 2.24446E-03
-6.97611E-08, -1.757998E-02, -5.40204E-03, 2.28662E-03
-6.97549E-08, -1.494534E-02, -6.56128E-03, 2.28662E-03
-6.97486E-08, -1.231070E-02, -7.61513E-03, 2.24446E-03
-6.97424E-08, -7.56835E-03, -8.56360E-03, 2.24446E-03
-6.97361E-08, -3.35293E-03, -9.30130E-03, 2.16016E-03
-6.97299E-08, 8.6249E-04, -1.003900E-02, 2.07585E-03
-6.97236E-08, 4.02406E-03, -1.088209E-02, 1.99154E-03
-6.97174E-08, 8.76641E-03, -1.151440E-02, 1.90723E-03
-6.97111E-08, 1.298183E-02, -1.214671E-02, 1.86508E-03
-6.97049E-08, 1.614340E-02, -1.267364E-02, 1.73861E-03
-6.96986E-08, 1.983190E-02, -1.298980E-02, 1.57000E-03
-6.96924E-08, 2.193961E-02, -1.330595E-02, 1.44353E-03
-6.96861E-08, 2.457425E-02, -1.362211E-02, 1.23276E-03
-6.96799E-08, 2.562810E-02, -1.372750E-02, 1.10630E-03
-6.96736E-08, 2.668196E-02, -1.362211E-02, 1.02199E-03
-6.96674E-08, 2.668196E-02, -1.383288E-02, 8.1122E-04
-6.96611E-08, 2.826274E-02, -1.372750E-02, 6.4260E-04
-6.96549E-08, 2.668196E-02, -1.362211E-02, 4.7399E-04
-6.96486E-08, 2.562810E-02, -1.341134E-02, 3.4752E-04
-6.96424E-08, 2.352039E-02, -1.320057E-02, 1.7891E-04
-6.96361E-08, 2.088575E-02, -1.277903E-02, 1.029E-05
-6.96299E-08, 1.719726E-02, -1.246287E-02, -1.5833E-04
-6.96236E-08, 1.456262E-02, -1.235748E-02, -3.2694E-04
-6.96174E-08, 1.087412E-02, -1.183056E-02, -4.9556E-04
-6.96111E-08, 6.65870E-03, -1.151440E-02, -6.2202E-04
-6.96049E-08, 2.97021E-03, -1.130363E-02, -7.9064E-04
-6.95986E-08, -1.9136E-04, -1.098747E-02, -9.1710E-04
-6.95924E-08, -5.46064E-03, -1.067131E-02, -9.5926E-04
-6.95861E-08, -8.62221E-03, -1.024977E-02, -1.04357E-03
-6.95799E-08, -1.231070E-02, -1.024977E-02, -1.12787E-03
-6.95736E-08, -1.705305E-02, -9.82823E-03, -1.17003E-03
-6.95674E-08, -1.916077E-02, -9.82823E-03, -1.12787E-03
-6.95611E-08, -2.126848E-02, -9.61746E-03, -1.21218E-03
-6.95549E-08, -2.390312E-02, -9.72284E-03, -1.17003E-03
-6.95486E-08, -2.548390E-02, -9.72284E-03, -1.17003E-03
-6.95424E-08, -2.706468E-02, -9.51207E-03, -1.12787E-03
-6.95361E-08, -2.759161E-02, -9.61746E-03, -1.08572E-03
-6.95299E-08, -2.759161E-02, -9.72284E-03, -9.5926E-04
-6.95236E-08, -2.601083E-02, -9.51207E-03, -8.7495E-04
-6.95174E-08, -2.601083E-02, -9.61746E-03, -7.0633E-04
-6.95111E-08, -2.495697E-02, -9.72284E-03, -5.7987E-04
-6.95049E-08, -2.179541E-02, -9.82823E-03, -4.1125E-04
-6.94986E-08, -1.916077E-02, -9.61746E-03, -3.2694E-04
-6.94924E-08, -1.757998E-02, -9.72284E-03, -7.402E-05
-6.94861E-08, -1.441841E-02, -9.40669E-03, 9.460E-05
-6.94799E-08, -1.125685E-02, -9.19592E-03, 3.0537E-04
-6.94736E-08, -9.14914E-03, -9.09053E-03, 5.1614E-04
-6.94674E-08, -5.46064E-03, -8.56360E-03, 8.1122E-04
-6.94611E-08, -1.77215E-03, -8.03667E-03, 9.7984E-04
-6.94549E-08, 1.38942E-03, -7.61513E-03, 1.14845E-03
-6.94486E-08, 2.97021E-03, -6.87743E-03, 1.35923E-03
-6.94424E-08, 6.13177E-03, -6.13973E-03, 1.57000E-03
-6.94361E-08, 8.76641E-03, -5.29665E-03, 1.78077E-03
-6.94299E-08, 9.82027E-03, -4.55895E-03, 1.94939E-03
-6.94236E-08, 1.192798E-02, -3.50509E-03, 2.20231E-03
-6.94174E-08, 1.245491E-02, -2.55662E-03, 2.28662E-03
-6.94111E-08, 1.245491E-02, -1.50277E-03, 2.41308E-03
-6.94049E-08, 1.456262E-02, -4.4891E-04, 2.62385E-03
-6.93986E-08, 1.350876E-02, 9.2110E-04, 2.70816E-03
-6.93924E-08, 1.350876E-02, 1.97495E-03, 2.79247E-03
-6.93861E-08, 1.298183E-02, 3.02881E-03, 2.79247E-03
-6.93799E-08, 1.192798E-02, 4.39882E-03, 2.87678E-03
-6.93736E-08, 1.034720E-02, 5.34729E-03, 2.91893E-03
-6.93674E-08, 8.76641E-03, 6.29576E-03, 2.87678E-03
-6.93611E-08, 7.18563E-03, 7.24423E-03, 2.79247E-03
-6.93549E-08, 6.13177E-03, 8.08732E-03, 2.79247E-03
-6.93486E-08, 3.49713E-03, 8.61425E-03, 2.70816E-03
-6.93424E-08, 1.38942E-03, 9.03579E-03, 2.58170E-03
-6.93361E-08, 3.3557E-04, 9.56272E-03, 2.45524E-03
-6.93299E-08, -2.29907E-03, 9.87887E-03, 2.37093E-03
-6.93236E-08, -3.35293E-03, 9.87887E-03, 2.16016E-03
-6.93174E-08, -5.46064E-03, 9.66810E-03, 1.99154E-03
-6.93111E-08, -7.04142E-03, 9.24656E-03, 1.82292E-03
-6.93049E-08, -8.09528E-03, 8.82502E-03, 1.65431E-03
-6.92986E-08, -8.09528E-03, 7.98193E-03, 1.40138E-03
-6.92924E-08, -9.14914E-03, 7.34962E-03, 1.14845E-03
-6.92861E-08, -9.14914E-03, 6.08499E-03, 9.3768E-04
-6.92799E-08, -9.67606E-03, 4.82037E-03, 7.6907E-04
-6.92736E-08, -9.67606E-03, 3.45035E-03, 5.1614E-04
-6.92674E-08, -9.67606E-03, 1.76418E-03, 3.0537E-04
-6.92611E-08, -8.09528E-03, 3.9417E-04, 1.3675E-04
-6.92549E-08, -8.09528E-03, -1.29200E-03, -7.402E-05
-6.92486E-08, -7.56835E-03, -2.87278E-03, -1.5833E-04
-6.92424E-08, -6.51450E-03, -4.45356E-03, -4.1125E-04
-6.92361E-08, -4.93371E-03, -6.24512E-03, -5.7987E-04
-6.92299E-08, -3.87986E-03, -7.82590E-03, -6.6418E-04
-6.92236E-08, -2.29907E-03, -9.40669E-03, -7.4849E-04
-6.92174E-08, -1.24522E-03, -1.088209E-02, -8.3279E-04
-6.92111E-08, 3.3557E-04, -1.214671E-02, -7.9064E-04
-6.92049E-08, 1.38942E-03, -1.320057E-02, -8.7495E-04
-6.91986E-08, 1.91635E-03, -1.404365E-02, -8.3279E-04
-6.91924E-08, 3.49713E-03, -1.509751E-02, -8.3279E-04
-6.91861E-08, 5.07792E-03, -1.541366E-02, -7.4849E-04
-6.91799E-08, 5.07792E-03, -1.594059E-02, -5.7987E-04
-6.91736E-08, 5.60485E-03, -1.583521E-02, -4.5341E-04
-6.91674E-08, 5.60485E-03, -1.583521E-02, -4.1125E-04
-6.91611E-08, 6.65870E-03, -1.530828E-02, -1.5833E-04
-6.91549E-08, 7.18563E-03, -1.457058E-02, -3.186E-05
-6.91486E-08, 6.13177E-03, -1.383288E-02, 2.6322E-04
-6.91424E-08, 6.13177E-03, -1.267364E-02, 4.7399E-04
-6.91361E-08, 6.65870E-03, -1.130363E-02, 6.4260E-04
-6.91299E-08, 5.07792E-03, -9.61746E-03, 8.9553E-04
-6.91236E-08, 4.55099E-03, -8.14206E-03, 1.06415E-03
-6.91174E-08, 4.55099E-03, -6.24512E-03, 1.27492E-03
-6.91111E-08, 2.44328E-03, -4.24279E-03, 1.52784E-03
-6.91049E-08, 2.97021E-03, -2.24047E-03, 1.73861E-03
-6.90986E-08, 1.38942E-03, -2.737E-05, 1.86508E-03
-6.90924E-08, 8.6249E-04, 2.08034E-03, 2.03369E-03
-6.90861E-08, 8.6249E-04, 4.08267E-03, 2.16016E-03
-6.90799E-08, -1.24522E-03, 6.19038E-03, 2.28662E-03
-6.90736E-08, -1.77215E-03, 8.29809E-03, 2.41308E-03
-6.90674E-08, -2.29907E-03, 1.019503E-02, 2.41308E-03
-6.90611E-08, -2.82600E-03, 1.198658E-02, 2.41308E-03
-6.90549E-08, -3.35293E-03, 1.356737E-02, 2.45524E-03
-6.90486E-08, -3.87986E-03, 1.514815E-02, 2.32877E-03
-6.90424E-08, -4.40678E-03, 1.641278E-02, 2.28662E-03
-6.90361E-08, -2.82600E-03, 1.746663E-02, 2.11800E-03
-6.90299E-08, -3.35293E-03, 1.820433E-02, 1.99154E-03
-6.90236E-08, -3.35293E-03, 1.904742E-02, 1.73861E-03
-6.90174E-08, -3.35293E-03, 1.957435E-02, 1.61215E-03
-6.90111E-08, -2.29907E-03, 1.957435E-02, 1.40138E-03
-6.90049E-08, -1.77215E-03, 1.978512E-02, 1.14845E-03
-6.89986E-08, 3.3557E-04, 1.957435E-02, 9.3768E-04
-6.89924E-08, 1.38942E-03, 1.904742E-02, 7.2691E-04
-6.89861E-08, 2.97021E-03, 1.862588E-02, 4.3183E-04
-6.89799E-08, 4.02406E-03, 1.778279E-02, 2.6322E-04
-6.89736E-08, 6.13177E-03, 1.683432E-02, 5.244E-05
-6.89674E-08, 7.71256E-03, 1.578047E-02, -1.1617E-04
-6.89611E-08, 1.034720E-02, 1.451584E-02, -3.6910E-04
-6.89549E-08, 1.140105E-02, 1.325121E-02, -4.1125E-04
-6.89486E-08, 1.456262E-02, 1.177581E-02, -5.7987E-04
-6.89424E-08, 1.772419E-02, 1.030042E-02, -5.7987E-04
-6.89361E-08, 1.983190E-02, 8.93040E-03, -6.6418E-04
-6.89299E-08, 2.193961E-02, 7.34962E-03, -5.7987E-04
-6.89236E-08, 2.352039E-02, 5.87422E-03, -5.7987E-04
-6.89174E-08, 2.562810E-02, 4.29344E-03, -4.1125E-04
-6.89111E-08, 2.878967E-02, 2.71265E-03, -2.4263E-04
-6.89049E-08, 2.984353E-02, 1.34264E-03, -3.186E-05
-6.88986E-08, 3.195124E-02, -2.737E-05, 1.7891E-04
-6.88924E-08, 3.353202E-02, -1.39738E-03, 5.5830E-04
-6.88861E-08, 3.511281E-02, -2.66201E-03, 8.1122E-04
-6.88799E-08, 3.511281E-02, -4.03202E-03, 1.23276E-03
-6.88736E-08, 3.616666E-02, -5.08588E-03, 1.65431E-03
-6.88674E-08, 3.669359E-02, -6.35051E-03, 2.11800E-03
-6.88611E-08, 3.722052E-02, -7.19359E-03, 2.53954E-03
-6.88549E-08, 3.511281E-02, -8.24745E-03, 3.08755E-03
-6.88486E-08, 3.353202E-02, -8.87976E-03, 3.42478E-03
-6.88424E-08, 3.300510E-02, -9.72284E-03, 3.93063E-03
-6.88361E-08, 3.142431E-02, -1.056593E-02, 4.31002E-03
-6.88299E-08, 2.878967E-02, -1.109286E-02, 4.77372E-03
-6.88236E-08, 2.562810E-02, -1.183056E-02, 5.23741E-03
-6.88174E-08, 2.246654E-02, -1.235748E-02, 5.53249E-03
-6.88111E-08, 1.877804E-02, -1.277903E-02, 5.78542E-03
-6.88049E-08, 1.561647E-02, -1.320057E-02, 6.08050E-03
-6.87986E-08, 1.140105E-02, -1.351672E-02, 6.24912E-03
-6.87924E-08, 6.65870E-03, -1.393827E-02, 6.41773E-03
-6.87861E-08, 1.91635E-03, -1.404365E-02, 6.41773E-03
-6.87799E-08, -3.35293E-03, -1.414904E-02, 6.41773E-03
-6.87736E-08, -7.56835E-03, -1.425442E-02, 6.41773E-03
-6.87674E-08, -1.231070E-02, -1.425442E-02, 6.24912E-03
-6.87611E-08, -1.599920E-02, -1.414904E-02, 6.12265E-03
-6.87549E-08, -2.232233E-02, -1.404365E-02, 5.91188E-03
-6.87486E-08, -2.653776E-02, -1.383288E-02, 5.57465E-03
-6.87424E-08, -2.969932E-02, -1.362211E-02, 5.19526E-03
-6.87361E-08, -3.444167E-02, -1.330595E-02, 4.81587E-03
-6.87299E-08, -3.865710E-02, -1.277903E-02, 4.35218E-03
-6.87236E-08, -4.129174E-02, -1.246287E-02, 3.93063E-03
-6.87174E-08, -4.339945E-02, -1.183056E-02, 3.46694E-03
-6.87111E-08, -4.603409E-02, -1.119824E-02, 3.00324E-03
-6.87049E-08, -4.761487E-02, -1.046054E-02, 2.49739E-03
-6.86986E-08, -4.814180E-02, -9.61746E-03, 1.99154E-03
-6.86924E-08, -4.814180E-02, -8.87976E-03, 1.57000E-03
-6.86861E-08, -4.814180E-02, -8.03667E-03, 1.02199E-03
-6.86799E-08, -4.708794E-02, -7.29898E-03, 6.8476E-04
-6.86736E-08, -4.550716E-02, -6.35051E-03, 2.6322E-04
-6.86674E-08, -4.339945E-02, -5.61281E-03, -1.1617E-04
-6.86611E-08, -4.023788E-02, -4.66434E-03, -4.9556E-04
-6.86549E-08, -3.760324E-02, -3.82125E-03, -7.0633E-04
-6.86486E-08, -3.496860E-02, -3.18894E-03, -9.5926E-04
-6.86424E-08, -2.969932E-02, -2.45124E-03, -1.12787E-03
-6.86361E-08, -2.601083E-02, -1.81893E-03, -1.29649E-03
-6.86299E-08, -2.126848E-02, -1.39738E-03, -1.33864E-03
-6.86236E-08, -1.652613E-02, -8.7046E-04, -1.46511E-03
-6.86174E-08, -1.231070E-02, -6.5968E-04, -1.42295E-03
-6.86111E-08, -8.09528E-03, -6.5968E-04, -1.38080E-03
-6.86049E-08, -3.35293E-03, -5.5430E-04, -1.33864E-03
-6.85986E-08, 1.38942E-03, -5.5430E-04, -1.25434E-03
-6.85924E-08, 5.60485E-03, -7.6507E-04, -1.08572E-03
-6.85861E-08, 9.82027E-03, -9.7584E-04, -9.5926E-04
-6.85799E-08, 1.298183E-02, -1.50277E-03, -7.0633E-04
-6.85736E-08, 1.667033E-02, -1.81893E-03, -5.7987E-04
-6.85674E-08, 1.930497E-02, -2.45124E-03, -2.8479E-04
-6.85611E-08, 2.193961E-02, -3.29432E-03, -2.0048E-04
-6.85549E-08, 2.299346E-02, -3.92664E-03, -3.186E-05
-6.85486E-08, 2.352039E-02, -4.87511E-03, 9.460E-05
-6.85424E-08, 2.457425E-02, -5.71819E-03, 3.4752E-04
-6.85361E-08, 2.562810E-02, -6.35051E-03, 4.7399E-04
-6.85299E-08, 2.404732E-02, -7.19359E-03, 6.0045E-04
