,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,32015,32015,32015
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-7.0000000000E-08,-7.0000000000E-08,-7.0000000000E-08
XInc:               ,6.250000E-12,6.250000E-12,6.250000E-12
XOrg:               ,-7.0069327384E-08,-7.0069327384E-08,-7.0069327384E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,6.40000E-01
YDispOrg:           ,-3.00000000000000E+00,-6.99999988079071E-01,2.95300006866455E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.0538557035034E-05
YOrg:               ,-2.88354070588684E+00,-6.76708141498989E-01,3.04616743078784E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,12 NOV 2024,12 NOV 2024,12 NOV 2024
Time:               ,10:40:26,10:40:26,10:40:26
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-7.00693E-08, -1.441841E-02, -7.72052E-03, -1.88665E-03
-7.00631E-08, -1.020299E-02, -7.40436E-03, -1.76019E-03
-7.00568E-08, -6.51450E-03, -6.87743E-03, -1.71803E-03
-7.00506E-08, -4.93371E-03, -6.66666E-03, -1.46511E-03
-7.00443E-08, -2.29907E-03, -6.03435E-03, -1.33864E-03
-7.00381E-08, 8.6249E-04, -5.61281E-03, -1.12787E-03
-7.00318E-08, 3.49713E-03, -4.98049E-03, -8.7495E-04
-7.00256E-08, 6.65870E-03, -4.66434E-03, -6.2202E-04
-7.00193E-08, 9.82027E-03, -4.03202E-03, -4.1125E-04
-7.00131E-08, 1.140105E-02, -3.61048E-03, -1.1617E-04
-7.00068E-08, 1.403569E-02, -2.97817E-03, 1.7891E-04
-7.00006E-08, 1.614340E-02, -2.55662E-03, 4.7399E-04
-6.99943E-08, 1.877804E-02, -2.02970E-03, 6.0045E-04
-6.99881E-08, 2.141268E-02, -1.60815E-03, 9.3768E-04
-6.99818E-08, 2.457425E-02, -1.08123E-03, 1.10630E-03
-6.99756E-08, 2.668196E-02, -6.5968E-04, 1.27492E-03
-6.99693E-08, 2.984353E-02, -2.3814E-04, 1.52784E-03
-6.99631E-08, 3.300510E-02, 3.9417E-04, 1.61215E-03
-6.99568E-08, 3.511281E-02, 7.1033E-04, 1.61215E-03
-6.99506E-08, 3.774745E-02, 1.02648E-03, 1.73861E-03
-6.99443E-08, 3.985516E-02, 1.23726E-03, 1.69646E-03
-6.99381E-08, 4.196287E-02, 1.65880E-03, 1.69646E-03
-6.99318E-08, 4.354365E-02, 1.86957E-03, 1.57000E-03
-6.99256E-08, 4.617829E-02, 2.08034E-03, 1.48569E-03
-6.99193E-08, 4.775907E-02, 2.50188E-03, 1.23276E-03
-6.99131E-08, 4.881293E-02, 2.50188E-03, 1.02199E-03
-6.99068E-08, 4.986679E-02, 2.50188E-03, 8.5338E-04
-6.99006E-08, 5.039372E-02, 2.60727E-03, 6.8476E-04
-6.98943E-08, 5.092064E-02, 2.71265E-03, 3.4752E-04
-6.98881E-08, 5.092064E-02, 2.71265E-03, 1.3675E-04
-6.98818E-08, 4.986679E-02, 2.81804E-03, -2.4263E-04
-6.98756E-08, 4.723215E-02, 2.39650E-03, -4.9556E-04
-6.98693E-08, 4.565137E-02, 2.29111E-03, -7.4849E-04
-6.98631E-08, 4.301672E-02, 2.18573E-03, -9.5926E-04
-6.98568E-08, 3.932823E-02, 2.08034E-03, -1.17003E-03
-6.98506E-08, 3.563973E-02, 1.65880E-03, -1.38080E-03
-6.98443E-08, 3.037046E-02, 1.44803E-03, -1.50726E-03
-6.98381E-08, 2.510118E-02, 1.13187E-03, -1.59157E-03
-6.98318E-08, 1.983190E-02, 7.1033E-04, -1.63372E-03
-6.98256E-08, 1.350876E-02, 7.801E-05, -1.63372E-03
-6.98193E-08, 7.18563E-03, 7.801E-05, -1.63372E-03
-6.98131E-08, -7.1829E-04, -4.4891E-04, -1.54942E-03
-6.98068E-08, -5.98757E-03, -1.08123E-03, -1.33864E-03
-6.98006E-08, -1.441841E-02, -1.39738E-03, -1.17003E-03
-6.97943E-08, -2.179541E-02, -2.02970E-03, -9.1710E-04
-6.97881E-08, -2.864547E-02, -2.45124E-03, -6.2202E-04
-6.97818E-08, -3.496860E-02, -2.97817E-03, -3.2694E-04
-6.97756E-08, -4.181866E-02, -3.50509E-03, 5.244E-05
-6.97693E-08, -4.761487E-02, -4.03202E-03, 3.8968E-04
-6.97631E-08, -5.288415E-02, -4.55895E-03, 8.1122E-04
-6.97568E-08, -5.815343E-02, -5.19126E-03, 1.14845E-03
-6.97506E-08, -6.236885E-02, -5.71819E-03, 1.57000E-03
-6.97443E-08, -6.447656E-02, -5.92896E-03, 1.86508E-03
-6.97381E-08, -6.711120E-02, -6.56128E-03, 2.20231E-03
-6.97318E-08, -6.816506E-02, -6.98282E-03, 2.53954E-03
-6.97256E-08, -6.869198E-02, -7.19359E-03, 2.87678E-03
-6.97193E-08, -6.711120E-02, -7.61513E-03, 3.08755E-03
-6.97131E-08, -6.658427E-02, -8.14206E-03, 3.29832E-03
-6.97068E-08, -6.394964E-02, -8.24745E-03, 3.38263E-03
-6.97006E-08, -5.973421E-02, -8.56360E-03, 3.50909E-03
-6.96943E-08, -5.446493E-02, -8.77437E-03, 3.46694E-03
-6.96881E-08, -5.077644E-02, -9.09053E-03, 3.50909E-03
-6.96818E-08, -4.392638E-02, -9.09053E-03, 3.34047E-03
-6.96756E-08, -3.760324E-02, -9.19592E-03, 3.25617E-03
-6.96693E-08, -3.180704E-02, -9.30130E-03, 3.04540E-03
-6.96631E-08, -2.337619E-02, -9.40669E-03, 2.70816E-03
-6.96568E-08, -1.652613E-02, -9.40669E-03, 2.41308E-03
-6.96506E-08, -9.67606E-03, -9.40669E-03, 2.11800E-03
-6.96443E-08, -2.82600E-03, -9.51207E-03, 1.69646E-03
-6.96381E-08, 4.02406E-03, -9.51207E-03, 1.31707E-03
-6.96318E-08, 9.82027E-03, -9.40669E-03, 8.9553E-04
-6.96256E-08, 1.561647E-02, -9.19592E-03, 5.5830E-04
-6.96193E-08, 2.193961E-02, -8.87976E-03, 9.460E-05
-6.96131E-08, 2.510118E-02, -8.77437E-03, -3.2694E-04
-6.96068E-08, 2.826274E-02, -8.45822E-03, -6.2202E-04
-6.96006E-08, 3.037046E-02, -8.14206E-03, -1.00141E-03
-6.95943E-08, 3.195124E-02, -7.82590E-03, -1.29649E-03
-6.95881E-08, 3.405895E-02, -7.40436E-03, -1.59157E-03
-6.95818E-08, 3.247816E-02, -7.08820E-03, -1.71803E-03
-6.95756E-08, 3.195124E-02, -6.66666E-03, -1.92880E-03
-6.95693E-08, 2.878967E-02, -6.35051E-03, -1.92880E-03
-6.95631E-08, 2.615503E-02, -5.71819E-03, -2.01311E-03
-6.95568E-08, 2.299346E-02, -5.29665E-03, -2.05527E-03
-6.95506E-08, 1.772419E-02, -4.66434E-03, -1.97096E-03
-6.95443E-08, 1.350876E-02, -4.13741E-03, -1.88665E-03
-6.95381E-08, 7.71256E-03, -3.39971E-03, -1.76019E-03
-6.95318E-08, 2.44328E-03, -2.97817E-03, -1.59157E-03
-6.95256E-08, -2.82600E-03, -2.34585E-03, -1.29649E-03
-6.95193E-08, -7.04142E-03, -1.50277E-03, -1.12787E-03
-6.95131E-08, -1.389149E-02, -1.08123E-03, -9.1710E-04
-6.95068E-08, -1.810691E-02, -4.4891E-04, -6.6418E-04
-6.95006E-08, -2.337619E-02, 1.8340E-04, -4.9556E-04
-6.94943E-08, -2.706468E-02, 8.1571E-04, -2.4263E-04
-6.94881E-08, -3.022625E-02, 1.34264E-03, -3.186E-05
-6.94818E-08, -3.180704E-02, 2.08034E-03, 1.7891E-04
-6.94756E-08, -3.444167E-02, 2.39650E-03, 3.0537E-04
-6.94693E-08, -3.602246E-02, 3.13420E-03, 3.8968E-04
-6.94631E-08, -3.602246E-02, 3.45035E-03, 4.7399E-04
-6.94568E-08, -3.496860E-02, 3.97728E-03, 5.1614E-04
-6.94506E-08, -3.444167E-02, 4.18805E-03, 3.4752E-04
-6.94443E-08, -3.233396E-02, 4.39882E-03, 3.0537E-04
-6.94381E-08, -2.969932E-02, 4.82037E-03, 2.2106E-04
-6.94318E-08, -2.601083E-02, 4.92575E-03, 1.029E-05
-6.94256E-08, -2.232233E-02, 4.82037E-03, -2.4263E-04
-6.94193E-08, -1.757998E-02, 4.92575E-03, -5.3771E-04
-6.94131E-08, -1.389149E-02, 4.82037E-03, -7.4849E-04
-6.94068E-08, -8.62221E-03, 4.82037E-03, -1.08572E-03
-6.94006E-08, -3.35293E-03, 4.60959E-03, -1.50726E-03
-6.93943E-08, 1.91635E-03, 4.29344E-03, -1.92880E-03
-6.93881E-08, 6.13177E-03, 3.97728E-03, -2.22388E-03
-6.93818E-08, 1.192798E-02, 3.55574E-03, -2.56112E-03
-6.93756E-08, 1.614340E-02, 3.23958E-03, -2.98266E-03
-6.93693E-08, 1.930497E-02, 2.71265E-03, -3.23559E-03
-6.93631E-08, 2.404732E-02, 2.29111E-03, -3.57282E-03
-6.93568E-08, 2.562810E-02, 1.86957E-03, -3.91005E-03
-6.93506E-08, 2.878967E-02, 1.23726E-03, -4.16298E-03
-6.93443E-08, 3.142431E-02, 8.1571E-04, -4.37375E-03
-6.93381E-08, 3.247816E-02, 7.801E-05, -4.50021E-03
-6.93318E-08, 3.247816E-02, -5.5430E-04, -4.75314E-03
-6.93256E-08, 3.300510E-02, -1.08123E-03, -4.79529E-03
-6.93193E-08, 3.247816E-02, -1.29200E-03, -4.83745E-03
-6.93131E-08, 3.195124E-02, -1.71354E-03, -4.83745E-03
-6.93068E-08, 2.984353E-02, -2.13508E-03, -4.75314E-03
-6.93006E-08, 2.931660E-02, -2.66201E-03, -4.71098E-03
-6.92943E-08, 2.773582E-02, -2.87278E-03, -4.58452E-03
-6.92881E-08, 2.510118E-02, -3.18894E-03, -4.41590E-03
-6.92818E-08, 2.352039E-02, -3.29432E-03, -4.28944E-03
-6.92756E-08, 2.141268E-02, -3.50509E-03, -4.03652E-03
-6.92693E-08, 1.930497E-02, -3.71587E-03, -3.78359E-03
-6.92631E-08, 1.772419E-02, -3.61048E-03, -3.57282E-03
-6.92568E-08, 1.614340E-02, -3.39971E-03, -3.36205E-03
-6.92506E-08, 1.456262E-02, -3.39971E-03, -3.19343E-03
-6.92443E-08, 1.456262E-02, -3.29432E-03, -2.98266E-03
-6.92381E-08, 1.456262E-02, -3.18894E-03, -2.72973E-03
-6.92318E-08, 1.508955E-02, -2.87278E-03, -2.51896E-03
-6.92256E-08, 1.403569E-02, -2.76740E-03, -2.35035E-03
-6.92193E-08, 1.667033E-02, -2.24047E-03, -2.26604E-03
-6.92131E-08, 1.825111E-02, -2.02970E-03, -2.13958E-03
-6.92068E-08, 1.983190E-02, -1.81893E-03, -2.13958E-03
-6.92006E-08, 2.246654E-02, -1.50277E-03, -2.05527E-03
-6.91943E-08, 2.510118E-02, -1.08123E-03, -2.09742E-03
-6.91881E-08, 2.773582E-02, -7.6507E-04, -2.09742E-03
-6.91818E-08, 3.142431E-02, -2.3814E-04, -2.26604E-03
-6.91756E-08, 3.405895E-02, -2.737E-05, -2.30819E-03
-6.91693E-08, 3.722052E-02, 3.9417E-04, -2.43465E-03
-6.91631E-08, 4.038208E-02, 6.0494E-04, -2.64543E-03
-6.91568E-08, 4.354365E-02, 9.2110E-04, -2.81404E-03
-6.91506E-08, 4.617829E-02, 1.23726E-03, -2.98266E-03
-6.91443E-08, 4.775907E-02, 1.44803E-03, -3.23559E-03
-6.91381E-08, 4.986679E-02, 1.86957E-03, -3.31989E-03
-6.91318E-08, 5.092064E-02, 2.18573E-03, -3.57282E-03
-6.91256E-08, 5.144757E-02, 2.18573E-03, -3.65713E-03
-6.91193E-08, 5.250143E-02, 2.50188E-03, -3.86790E-03
-6.91131E-08, 5.197450E-02, 2.92343E-03, -3.95221E-03
-6.91068E-08, 5.092064E-02, 3.23958E-03, -4.03652E-03
-6.91006E-08, 4.986679E-02, 3.45035E-03, -4.20513E-03
-6.90943E-08, 4.828600E-02, 3.76651E-03, -4.20513E-03
-6.90881E-08, 4.459751E-02, 3.97728E-03, -4.16298E-03
-6.90818E-08, 4.248980E-02, 4.39882E-03, -4.12082E-03
-6.90756E-08, 3.827437E-02, 4.60959E-03, -4.07867E-03
-6.90693E-08, 3.405895E-02, 4.82037E-03, -3.99436E-03
-6.90631E-08, 3.089738E-02, 5.24191E-03, -3.74144E-03
-6.90568E-08, 2.668196E-02, 5.66345E-03, -3.57282E-03
-6.90506E-08, 2.299346E-02, 6.19038E-03, -3.27774E-03
-6.90443E-08, 1.825111E-02, 6.29576E-03, -3.02481E-03
-6.90381E-08, 1.403569E-02, 6.82269E-03, -2.64543E-03
-6.90318E-08, 9.82027E-03, 7.13885E-03, -2.30819E-03
-6.90256E-08, 5.60485E-03, 7.56039E-03, -1.92880E-03
-6.90193E-08, 3.49713E-03, 7.87655E-03, -1.54942E-03
-6.90131E-08, 3.3557E-04, 8.08732E-03, -1.08572E-03
-6.90068E-08, -2.29907E-03, 8.40348E-03, -6.2202E-04
-6.90006E-08, -4.40678E-03, 8.50886E-03, -2.4263E-04
-6.89943E-08, -4.93371E-03, 8.71963E-03, 2.2106E-04
-6.89881E-08, -4.93371E-03, 8.71963E-03, 7.2691E-04
-6.89818E-08, -4.40678E-03, 8.71963E-03, 1.06415E-03
-6.89756E-08, -4.40678E-03, 8.71963E-03, 1.52784E-03
-6.89693E-08, -2.82600E-03, 8.50886E-03, 1.94939E-03
-6.89631E-08, -1.9136E-04, 8.40348E-03, 2.37093E-03
-6.89568E-08, 2.44328E-03, 7.87655E-03, 2.58170E-03
-6.89506E-08, 6.65870E-03, 7.34962E-03, 2.91893E-03
-6.89443E-08, 9.82027E-03, 7.03346E-03, 3.08755E-03
-6.89381E-08, 1.403569E-02, 6.29576E-03, 3.34047E-03
-6.89318E-08, 1.877804E-02, 5.55806E-03, 3.50909E-03
-6.89256E-08, 2.246654E-02, 4.82037E-03, 3.55125E-03
-6.89193E-08, 2.773582E-02, 3.87190E-03, 3.59340E-03
-6.89131E-08, 3.142431E-02, 2.81804E-03, 3.63555E-03
-6.89068E-08, 3.616666E-02, 1.97495E-03, 3.50909E-03
-6.89006E-08, 4.038208E-02, 8.1571E-04, 3.46694E-03
-6.88943E-08, 4.459751E-02, -2.3814E-04, 3.21401E-03
-6.88881E-08, 4.775907E-02, -1.39738E-03, 3.04540E-03
-6.88818E-08, 5.092064E-02, -2.55662E-03, 2.83462E-03
-6.88756E-08, 5.250143E-02, -3.71587E-03, 2.58170E-03
-6.88693E-08, 5.460914E-02, -4.98049E-03, 2.24446E-03
-6.88631E-08, 5.618992E-02, -6.13973E-03, 1.94939E-03
-6.88568E-08, 5.671685E-02, -7.50975E-03, 1.52784E-03
-6.88506E-08, 5.513607E-02, -8.35283E-03, 1.27492E-03
-6.88443E-08, 5.513607E-02, -9.51207E-03, 8.9553E-04
-6.88381E-08, 5.302835E-02, -1.056593E-02, 4.7399E-04
-6.88318E-08, 5.039372E-02, -1.161978E-02, 1.7891E-04
-6.88256E-08, 4.670522E-02, -1.267364E-02, -2.0048E-04
-6.88193E-08, 4.354365E-02, -1.330595E-02, -5.3771E-04
-6.88131E-08, 3.827437E-02, -1.393827E-02, -8.3279E-04
-6.88068E-08, 3.511281E-02, -1.467597E-02, -9.5926E-04
-6.88006E-08, 2.931660E-02, -1.530828E-02, -1.21218E-03
-6.87943E-08, 2.352039E-02, -1.583521E-02, -1.38080E-03
-6.87881E-08, 1.825111E-02, -1.594059E-02, -1.46511E-03
-6.87818E-08, 1.298183E-02, -1.636213E-02, -1.54942E-03
-6.87756E-08, 6.65870E-03, -1.657291E-02, -1.54942E-03
-6.87693E-08, 2.44328E-03, -1.678368E-02, -1.50726E-03
-6.87631E-08, -3.35293E-03, -1.667829E-02, -1.33864E-03
-6.87568E-08, -9.14914E-03, -1.678368E-02, -1.25434E-03
-6.87506E-08, -1.547227E-02, -1.678368E-02, -1.04357E-03
-6.87443E-08, -1.863384E-02, -1.667829E-02, -7.9064E-04
-6.87381E-08, -2.337619E-02, -1.646752E-02, -4.9556E-04
-6.87318E-08, -2.706468E-02, -1.625675E-02, -1.1617E-04
-6.87256E-08, -3.075318E-02, -1.604598E-02, 2.2106E-04
-6.87193E-08, -3.286089E-02, -1.572982E-02, 5.1614E-04
-6.87131E-08, -3.602246E-02, -1.551905E-02, 1.02199E-03
-6.87068E-08, -3.760324E-02, -1.530828E-02, 1.40138E-03
-6.87006E-08, -3.760324E-02, -1.499212E-02, 1.78077E-03
-6.86943E-08, -3.813017E-02, -1.446519E-02, 2.16016E-03
-6.86881E-08, -3.760324E-02, -1.425442E-02, 2.53954E-03
-6.86818E-08, -3.707631E-02, -1.383288E-02, 2.91893E-03
-6.86756E-08, -3.549553E-02, -1.351672E-02, 3.21401E-03
-6.86693E-08, -3.496860E-02, -1.320057E-02, 3.50909E-03
-6.86631E-08, -3.286089E-02, -1.256825E-02, 3.71986E-03
-6.86568E-08, -2.969932E-02, -1.225210E-02, 3.93063E-03
-6.86506E-08, -2.759161E-02, -1.172517E-02, 4.14140E-03
-6.86443E-08, -2.548390E-02, -1.119824E-02, 4.09925E-03
-6.86381E-08, -2.337619E-02, -1.067131E-02, 4.22571E-03
-6.86318E-08, -2.074155E-02, -9.93362E-03, 4.18356E-03
-6.86256E-08, -1.863384E-02, -9.19592E-03, 4.01494E-03
-6.86193E-08, -1.599920E-02, -8.45822E-03, 3.88848E-03
-6.86131E-08, -1.494534E-02, -7.50975E-03, 3.76202E-03
-6.86068E-08, -1.283763E-02, -6.87743E-03, 3.42478E-03
-6.86006E-08, -1.178377E-02, -5.92896E-03, 3.08755E-03
-6.85943E-08, -1.072992E-02, -4.98049E-03, 2.70816E-03
-6.85881E-08, -1.178377E-02, -4.03202E-03, 2.37093E-03
