,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,4005,4005,4005
Count:              ,1,1,1
XDispRange:         ,1.00000E-07,1.00000E-07,1.00000E-07
XDispOrg:           ,-2.4836000000E-08,-2.4836000000E-08,-2.4836000000E-08
XInc:               ,2.5000000E-11,2.5000000E-11,2.5000000E-11
XOrg:               ,-2.4911822550E-08,-2.4911822550E-08,-2.4911822550E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,8.00000E-01
YDispOrg:           ,-3.40000009536743E+00,-1.89999997615814E-01,3.01999986171722E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.3173196748539E-05
YOrg:               ,-3.28354070588684E+00,-1.66708141498989E-01,3.13645929250506E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,14 JAN 2025,14 JAN 2025,14 JAN 2025
Time:               ,10:35:13,10:35:13,10:35:13
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-2.49118E-08, 7.65082E-03, 2.382898E-02, 3.44349E-03
-2.48868E-08, 1.871630E-02, 3.48956E-03, 1.75732E-03
-2.48618E-08, 3.030871E-02, -1.505830E-02, 4.4000E-04
-2.48368E-08, 3.979342E-02, -3.086614E-02, -1.3962E-04
-2.48118E-08, 4.611655E-02, -4.203701E-02, 2.2923E-04
-2.47868E-08, 4.822426E-02, -4.920323E-02, 1.38847E-03
-2.47618E-08, 4.348191E-02, -5.131094E-02, 2.86387E-03
-2.47368E-08, 3.294335E-02, -4.909784E-02, 4.33927E-03
-2.47118E-08, 1.555473E-02, -4.256393E-02, 5.34043E-03
-2.46868E-08, -3.94160E-03, -3.191999E-02, 5.07697E-03
-2.46618E-08, -2.396486E-02, -1.779833E-02, 3.70696E-03
-2.46368E-08, -4.293426E-02, -1.25279E-03, 1.70463E-03
-2.46118E-08, -5.663439E-02, 1.571429E-02, -6.6655E-04
-2.45868E-08, -6.401137E-02, 3.162751E-02, -2.77426E-03
-2.45618E-08, -6.453831E-02, 4.437916E-02, -4.30235E-03
-2.45368E-08, -5.768824E-02, 5.249385E-02, -4.72389E-03
-2.45118E-08, -4.662276E-02, 5.491772E-02, -4.35504E-03
-2.44868E-08, -3.186877E-02, 5.122923E-02, -3.45926E-03
-2.44618E-08, -1.606094E-02, 4.195530E-02, -2.24733E-03
-2.44368E-08, -1.30696E-03, 2.825517E-02, -1.19347E-03
-2.44118E-08, 1.344702E-02, 1.128809E-02, -6.6655E-04
-2.43868E-08, 2.398558E-02, -6.31130E-03, -4.5577E-04
-2.43618E-08, 3.136257E-02, -2.338376E-02, -2.4500E-04
-2.43368E-08, 3.241643E-02, -3.792697E-02, 7.115E-05
-2.43118E-08, 2.978179E-02, -4.930861E-02, 7.0347E-04
-2.42868E-08, 2.240480E-02, -5.689637E-02, 1.70463E-03
-2.42618E-08, 1.344702E-02, -6.047948E-02, 2.86387E-03
-2.42368E-08, 3.96232E-03, -6.047948E-02, 3.86503E-03
-2.42118E-08, -7.8003E-04, -5.636945E-02, 4.33927E-03
-2.41868E-08, -1.30696E-03, -4.920323E-02, 3.86503E-03
-2.41618E-08, 3.96232E-03, -3.803236E-02, 2.86387E-03
-2.41368E-08, 1.502781E-02, -2.359453E-02, 1.33578E-03
-2.41118E-08, 2.714715E-02, -5.15206E-03, -3.423E-05
-2.40868E-08, 3.873956E-02, 1.529275E-02, -1.08809E-03
-2.40618E-08, 4.453577E-02, 3.636986E-02, -1.24617E-03
-2.40368E-08, 4.190113E-02, 5.618235E-02, -5.0847E-04
-2.40118E-08, 3.241643E-02, 7.177942E-02, 9.6693E-04
-2.39868E-08, 1.502781E-02, 8.158027E-02, 2.60041E-03
-2.39618E-08, -2.88774E-03, 8.358259E-02, 3.86503E-03
-2.39368E-08, -2.080329E-02, 7.736485E-02, 4.18119E-03
-2.39118E-08, -3.134185E-02, 6.282164E-02, 3.75965E-03
-2.38868E-08, -3.397649E-02, 4.184991E-02, 2.23156E-03
-2.38618E-08, -2.554564E-02, 1.634660E-02, 3.3462E-04
-2.38368E-08, -1.079166E-02, -1.031595E-02, -1.56232E-03
-2.38118E-08, 5.54310E-03, -3.666234E-02, -2.61618E-03
-2.37868E-08, 2.082401E-02, -5.942563E-02, -2.66887E-03
-2.37618E-08, 3.083564E-02, -7.628732E-02, -1.61502E-03
-2.37368E-08, 3.241643E-02, -8.566663E-02, 2.8192E-04
-2.37118E-08, 2.609329E-02, -8.661511E-02, 2.33694E-03
-2.36868E-08, 1.660859E-02, -7.955427E-02, 4.02311E-03
-2.36618E-08, 5.54310E-03, -6.490568E-02, 4.76081E-03
-2.36368E-08, -2.88774E-03, -4.477703E-02, 4.55004E-03
-2.36118E-08, -2.88774E-03, -2.127605E-02, 3.49618E-03
-2.35868E-08, 5.01618E-03, 2.33032E-03, 1.86271E-03
-2.35618E-08, 2.082401E-02, 2.340743E-02, 4.9270E-04
-2.35368E-08, 3.979342E-02, 3.953143E-02, -8.692E-05
-2.35118E-08, 5.770896E-02, 4.880536E-02, 3.8731E-04
-2.34868E-08, 6.824752E-02, 5.091307E-02, 1.38847E-03
-2.34618E-08, 6.877445E-02, 4.532763E-02, 2.70579E-03
-2.34368E-08, 5.612818E-02, 3.352445E-02, 3.75965E-03
-2.34118E-08, 3.188950E-02, 1.740046E-02, 3.97042E-03
-2.33868E-08, 2.38154E-03, -6.2048E-04, 3.07464E-03
-2.33618E-08, -2.607257E-02, -1.843064E-02, 1.23040E-03
-2.33368E-08, -4.767661E-02, -3.318462E-02, -7.7193E-04
-2.33118E-08, -5.979595E-02, -4.340702E-02, -2.51079E-03
-2.32868E-08, -5.821517E-02, -4.783322E-02, -3.40657E-03
-2.32618E-08, -4.873047E-02, -4.572550E-02, -2.93234E-03
-2.32368E-08, -3.503034E-02, -3.771620E-02, -1.29886E-03
-2.32118E-08, -2.080329E-02, -2.496454E-02, 1.12501E-03
-2.31868E-08, -1.079166E-02, -9.15671E-03, 3.54888E-03
-2.31618E-08, -5.52238E-03, 7.91575E-03, 5.28774E-03
-2.31368E-08, -6.04931E-03, 2.414513E-02, 6.02544E-03
-2.31118E-08, -1.131859E-02, 3.837219E-02, 5.70928E-03
-2.30868E-08, -1.869558E-02, 4.933228E-02, 4.33927E-03
-2.30618E-08, -2.659950E-02, 5.702543E-02, 2.54771E-03
-2.30368E-08, -3.397649E-02, 6.155701E-02, 9.6693E-04
-2.30118E-08, -3.977269E-02, 6.303241E-02, -3.423E-05
-2.29868E-08, -4.082655E-02, 6.240010E-02, -3.5039E-04
-2.29618E-08, -3.661112E-02, 5.913314E-02, -8.692E-05
-2.29368E-08, -2.870721E-02, 5.312617E-02, 5.9808E-04
-2.29118E-08, -1.289937E-02, 4.343069E-02, 1.33578E-03
-2.28868E-08, 5.54310E-03, 3.015211E-02, 1.75732E-03
-2.28618E-08, 2.345865E-02, 1.286888E-02, 1.65194E-03
-2.28368E-08, 3.768570E-02, -7.78670E-03, 1.28309E-03
-2.28118E-08, 4.348191E-02, -3.033921E-02, 7.5616E-04
-2.27868E-08, 4.137420E-02, -5.225941E-02, -3.423E-05
-2.27618E-08, 3.136257E-02, -7.101804E-02, -2.9770E-04
-2.27368E-08, 1.713552E-02, -8.450739E-02, -3.423E-05
-2.27118E-08, 5.01618E-03, -9.051437E-02, 6.5077E-04
-2.26868E-08, -7.8003E-04, -8.861743E-02, 1.44117E-03
-2.26618E-08, 8.0075E-04, -7.965966E-02, 2.28425E-03
-2.26368E-08, 8.70467E-03, -6.490568E-02, 2.75849E-03
-2.26118E-08, 1.924323E-02, -4.677936E-02, 2.65310E-03
-2.25868E-08, 2.872793E-02, -2.717764E-02, 1.91540E-03
-2.25618E-08, 3.188950E-02, -7.89208E-03, 8.0885E-04
-2.25368E-08, 2.925486E-02, 9.39115E-03, -5.0847E-04
-2.25118E-08, 2.082401E-02, 2.425052E-02, -1.56232E-03
-2.24868E-08, 1.239317E-02, 3.605370E-02, -2.03656E-03
-2.24618E-08, 6.07003E-03, 4.437916E-02, -1.98386E-03
-2.24368E-08, 7.12389E-03, 4.922690E-02, -1.08809E-03
-2.24118E-08, 1.502781E-02, 5.028075E-02, 1.7654E-04
-2.23868E-08, 2.503943E-02, 4.711919E-02, 1.44117E-03
-2.23618E-08, 3.294335E-02, 4.026913E-02, 2.23156E-03
-2.23368E-08, 3.505107E-02, 2.994134E-02, 2.38964E-03
-2.23118E-08, 2.662022E-02, 1.813816E-02, 1.70463E-03
-2.22868E-08, 1.028545E-02, 6.44036E-03, 2.8192E-04
-2.22618E-08, -1.131859E-02, -3.78204E-03, -1.50963E-03
-2.22368E-08, -3.292263E-02, -1.115903E-02, -2.93234E-03
-2.22118E-08, -4.820354E-02, -1.432060E-02, -3.77542E-03
-2.21868E-08, -5.452668E-02, -1.432060E-02, -3.93350E-03
-2.21618E-08, -5.083818E-02, -1.231828E-02, -3.09041E-03
-2.21368E-08, -3.871884E-02, -9.78902E-03, -1.61502E-03
-2.21118E-08, -2.501871E-02, -8.84055E-03, 1.2385E-04
-2.20868E-08, -1.237244E-02, -1.063211E-02, 1.54655E-03
-2.20618E-08, -3.41467E-03, -1.516369E-02, 2.49502E-03
-2.20368E-08, -1.83389E-03, -2.211913E-02, 2.96926E-03
-2.20118E-08, -6.04931E-03, -3.002305E-02, 2.91656E-03
-2.19868E-08, -1.342630E-02, -3.592464E-02, 2.54771E-03
-2.19618E-08, -2.291100E-02, -3.740004E-02, 2.28425E-03
-2.19368E-08, -3.186877E-02, -3.339539E-02, 2.33694E-03
-2.19118E-08, -3.977269E-02, -2.359453E-02, 2.65310E-03
-2.18868E-08, -4.398812E-02, -8.84055E-03, 2.91656E-03
-2.18618E-08, -4.504197E-02, 9.07500E-03, 3.18003E-03
-2.18368E-08, -4.451504E-02, 2.677977E-02, 3.12734E-03
-2.18118E-08, -4.082655E-02, 4.142837E-02, 2.86387E-03
-2.17868E-08, -3.555727E-02, 5.070230E-02, 2.38964E-03
-2.17618E-08, -3.028799E-02, 5.270462E-02, 2.02079E-03
-2.17368E-08, -2.765335E-02, 4.785689E-02, 2.02079E-03
-2.17118E-08, -2.712642E-02, 3.679140E-02, 2.38964E-03
-2.16868E-08, -2.976106E-02, 2.140511E-02, 3.07464E-03
-2.16618E-08, -3.344956E-02, 3.38418E-03, 3.91773E-03
-2.16368E-08, -3.924577E-02, -1.516369E-02, 4.44466E-03
-2.16118E-08, -4.135348E-02, -3.181460E-02, 4.33927E-03
-2.15868E-08, -4.135348E-02, -4.583089E-02, 3.65426E-03
-2.15618E-08, -3.397649E-02, -5.658022E-02, 2.44233E-03
-2.15368E-08, -2.659950E-02, -6.311412E-02, 1.44117E-03
-2.15118E-08, -1.606094E-02, -6.543261E-02, 8.6155E-04
-2.14868E-08, -8.15702E-03, -6.311412E-02, 9.1424E-04
-2.14618E-08, -3.94160E-03, -5.615867E-02, 1.86271E-03
-2.14368E-08, -3.94160E-03, -4.488242E-02, 3.33811E-03
-2.14118E-08, -4.46853E-03, -3.023382E-02, 4.76081E-03
-2.13868E-08, -7.10317E-03, -1.295059E-02, 5.70928E-03
-2.13618E-08, -8.68395E-03, 5.38650E-03, 5.60390E-03
-2.13368E-08, -7.10317E-03, 2.266973E-02, 4.60273E-03
-2.13118E-08, -2.88774E-03, 3.710756E-02, 2.91656E-03
-2.12868E-08, -2.5310E-04, 4.796227E-02, 1.12501E-03
-2.12618E-08, 8.0075E-04, 5.418002E-02, -1.9231E-04
-2.12368E-08, -1.83389E-03, 5.576080E-02, -2.9770E-04
-2.12118E-08, -1.184552E-02, 5.333694E-02, 5.4539E-04
-2.11868E-08, -2.238407E-02, 4.775150E-02, 2.23156E-03
-2.11618E-08, -3.397649E-02, 3.995297E-02, 3.91773E-03
-2.11368E-08, -3.924577E-02, 3.110058E-02, 4.91889E-03
-2.11118E-08, -3.871884E-02, 2.077279E-02, 4.76081E-03
-2.10868E-08, -3.028799E-02, 1.012885E-02, 3.12734E-03
-2.10618E-08, -1.711480E-02, -1.35818E-03, 7.0347E-04
-2.10368E-08, -4.99545E-03, -1.326675E-02, -1.98386E-03
-2.10118E-08, 4.48925E-03, -2.496454E-02, -4.09158E-03
-2.09868E-08, 5.54310E-03, -3.592464E-02, -4.88197E-03
-2.09618E-08, 2.7382E-04, -4.509319E-02, -4.24965E-03
-2.09368E-08, -1.131859E-02, -5.162710E-02, -2.08925E-03
-2.09118E-08, -2.554564E-02, -5.489405E-02, 7.5616E-04
-2.08868E-08, -3.608420E-02, -5.426173E-02, 3.60157E-03
-2.08618E-08, -4.240733E-02, -5.004631E-02, 5.81467E-03
-2.08368E-08, -4.188041E-02, -4.266932E-02, 6.92122E-03
-2.08118E-08, -4.029962E-02, -3.244692E-02, 6.76314E-03
-2.07868E-08, -3.555727E-02, -2.022219E-02, 5.49851E-03
-2.07618E-08, -3.239570E-02, -6.62745E-03, 3.81234E-03
-2.07368E-08, -3.292263E-02, 7.59960E-03, 2.07348E-03
-2.07118E-08, -3.503034E-02, 2.003510E-02, 7.0347E-04
-2.06868E-08, -3.555727E-02, 3.036288E-02, -3.423E-05
-2.06618E-08, -3.397649E-02, 3.658063E-02, -2.9770E-04
-2.06368E-08, -2.976106E-02, 3.763449E-02, 7.115E-05
-2.06118E-08, -2.080329E-02, 3.331368E-02, 7.5616E-04
-2.05868E-08, -1.184552E-02, 2.425052E-02, 1.59924E-03
-2.05618E-08, -4.99545E-03, 1.181502E-02, 2.60041E-03
-2.05368E-08, -4.46853E-03, -2.09587E-03, 3.39080E-03
-2.05118E-08, -1.131859E-02, -1.505830E-02, 4.02311E-03
-2.04868E-08, -2.238407E-02, -2.591302E-02, 4.33927E-03
-2.04618E-08, -3.292263E-02, -3.402770E-02, 4.23388E-03
-2.04368E-08, -3.977269E-02, -3.908621E-02, 3.60157E-03
-2.04118E-08, -4.082655E-02, -4.161546E-02, 2.54771E-03
-2.03868E-08, -3.239570E-02, -4.340702E-02, 1.23040E-03
-2.03618E-08, -1.764172E-02, -4.425010E-02, -8.692E-05
-2.03368E-08, -3.94160E-03, -4.467165E-02, -1.14078E-03
-2.03118E-08, 5.54310E-03, -4.403934E-02, -1.50963E-03
-2.02868E-08, 7.12389E-03, -4.193162E-02, -1.50963E-03
-2.02618E-08, -2.5310E-04, -3.645157E-02, -9.3001E-04
-2.02368E-08, -1.289937E-02, -2.749380E-02, 1.7654E-04
-2.02118E-08, -2.607257E-02, -1.516369E-02, 1.49386E-03
-2.01868E-08, -3.186877E-02, 1.184E-05, 2.86387E-03
-2.01618E-08, -2.765335E-02, 1.634660E-02, 3.86503E-03
-2.01368E-08, -1.448016E-02, 3.194366E-02, 4.81350E-03
-2.01118E-08, 5.54310E-03, 4.448455E-02, 5.28774E-03
-2.00868E-08, 2.451251E-02, 5.270462E-02, 5.23505E-03
-2.00618E-08, 3.663185E-02, 5.523388E-02, 4.49735E-03
-2.00368E-08, 3.821263E-02, 5.133461E-02, 3.39080E-03
-2.00118E-08, 2.714715E-02, 4.142837E-02, 1.96809E-03
-1.99868E-08, 8.17774E-03, 2.625285E-02, 3.8731E-04
-1.99618E-08, -1.342630E-02, 7.38883E-03, -9.3001E-04
-1.99368E-08, -3.081492E-02, -1.400444E-02, -1.56232E-03
-1.99118E-08, -3.871884E-02, -3.550310E-02, -1.35155E-03
-1.98868E-08, -3.344956E-02, -5.499943E-02, -3.5039E-04
-1.98618E-08, -1.869558E-02, -7.059650E-02, 1.28309E-03
-1.98368E-08, -2.5310E-04, -8.060813E-02, 3.12734E-03
-1.98118E-08, 1.818937E-02, -8.303200E-02, 4.81350E-03
-1.97868E-08, 3.030871E-02, -7.734118E-02, 5.81467E-03
-1.97618E-08, 3.399721E-02, -6.364105E-02, 6.07813E-03
-1.97368E-08, 2.662022E-02, -4.309087E-02, 5.81467E-03
-1.97118E-08, 1.608166E-02, -1.874680E-02, 5.18235E-03
-1.96868E-08, 3.96232E-03, 7.07267E-03, 4.60273E-03
-1.96618E-08, -3.94160E-03, 3.067904E-02, 4.23388E-03
-1.96368E-08, -3.94160E-03, 4.891074E-02, 4.39196E-03
-1.96118E-08, 8.0075E-04, 5.966007E-02, 4.86620E-03
-1.95868E-08, 1.397395E-02, 6.250548E-02, 5.55120E-03
-1.95618E-08, 2.767408E-02, 5.776313E-02, 6.13082E-03
-1.95368E-08, 3.979342E-02, 4.732996E-02, 6.39429E-03
-1.95118E-08, 4.558962E-02, 3.352445E-02, 6.18352E-03
-1.94868E-08, 4.295498E-02, 1.887585E-02, 5.49851E-03
-1.94618E-08, 3.294335E-02, 5.07034E-03, 4.28658E-03
-1.94368E-08, 1.766245E-02, -6.83823E-03, 2.81118E-03
-1.94118E-08, -1.30696E-03, -1.642831E-02, 1.07232E-03
-1.93868E-08, -1.711480E-02, -2.391069E-02, -8.2462E-04
-1.93618E-08, -2.923414E-02, -3.002305E-02, -2.45810E-03
-1.93368E-08, -3.503034E-02, -3.497617E-02, -3.82811E-03
-1.93118E-08, -3.292263E-02, -3.919160E-02, -4.61850E-03
-1.92868E-08, -2.449179E-02, -4.288009E-02, -4.67120E-03
-1.92618E-08, -1.237244E-02, -4.551473E-02, -3.98619E-03
-1.92368E-08, 1.32768E-03, -4.677936E-02, -2.40541E-03
-1.92118E-08, 1.028545E-02, -4.604166E-02, -5.0847E-04
-1.91868E-08, 1.608166E-02, -4.256393E-02, 1.54655E-03
-1.91618E-08, 1.608166E-02, -3.581926E-02, 3.44349E-03
-1.91368E-08, 1.028545E-02, -2.570224E-02, 4.91889E-03
-1.91118E-08, 8.0075E-04, -1.242366E-02, 5.81467E-03
-1.90868E-08, -9.21088E-03, 3.48956E-03, 6.02544E-03
-1.90618E-08, -1.500708E-02, 2.077279E-02, 5.81467E-03
-1.90368E-08, -1.764172E-02, 3.721295E-02, 5.28774E-03
-1.90118E-08, -1.500708E-02, 5.080768E-02, 4.81350E-03
-1.89868E-08, -6.04931E-03, 5.987084E-02, 4.33927E-03
