,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,4005,4005,4005
Count:              ,1,1,1
XDispRange:         ,1.00000E-07,1.00000E-07,1.00000E-07
XDispOrg:           ,-2.4836000000E-08,-2.4836000000E-08,-2.4836000000E-08
XInc:               ,2.5000000E-11,2.5000000E-11,2.5000000E-11
XOrg:               ,-2.4883089909E-08,-2.4883089909E-08,-2.4883089909E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,8.00000E-01
YDispOrg:           ,-3.40000009536743E+00,-1.89999997615814E-01,3.01999986171722E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.3173196748539E-05
YOrg:               ,-3.28354070588684E+00,-1.66708141498989E-01,3.13645929250506E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,14 JAN 2025,14 JAN 2025,14 JAN 2025
Time:               ,10:43:25,10:43:25,10:43:25
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-2.48831E-08, -3.713806E-02, 5.333694E-02, 1.65194E-03
-2.48581E-08, -2.659950E-02, 5.955468E-02, 2.86387E-03
-2.48331E-08, -9.73780E-03, 5.786852E-02, 3.91773E-03
-2.48081E-08, 6.07003E-03, 4.827843E-02, 4.86620E-03
-2.47831E-08, 1.977016E-02, 3.257598E-02, 5.39313E-03
-2.47581E-08, 2.451251E-02, 1.402812E-02, 5.55120E-03
-2.47331E-08, 2.187787E-02, -4.62513E-03, 5.39313E-03
-2.47081E-08, 1.344702E-02, -2.001142E-02, 5.07697E-03
-2.46831E-08, 4.48925E-03, -3.076075E-02, 4.39196E-03
-2.46581E-08, 8.0075E-04, -3.518695E-02, 3.44349E-03
-2.46331E-08, 3.96232E-03, -3.318462E-02, 2.60041E-03
-2.46081E-08, 1.239317E-02, -2.570224E-02, 1.91540E-03
-2.45831E-08, 2.345865E-02, -1.463676E-02, 1.81002E-03
-2.45581E-08, 3.610492E-02, -2.20126E-03, 2.02079E-03
-2.45331E-08, 4.242805E-02, 9.28577E-03, 2.86387E-03
-2.45081E-08, 4.137420E-02, 1.845431E-02, 3.97042E-03
-2.44831E-08, 3.610492E-02, 2.446129E-02, 5.07697E-03
-2.44581E-08, 2.609329E-02, 2.667439E-02, 5.65659E-03
-2.44331E-08, 1.608166E-02, 2.540976E-02, 5.76197E-03
-2.44081E-08, 6.07003E-03, 2.140511E-02, 5.07697E-03
-2.43831E-08, -3.41467E-03, 1.518736E-02, 3.75965E-03
-2.43581E-08, -1.184552E-02, 7.81037E-03, 1.81002E-03
-2.43331E-08, -2.185715E-02, -9.3663E-04, -3.5039E-04
-2.43081E-08, -3.344956E-02, -1.042134E-02, -2.14194E-03
-2.42831E-08, -4.451504E-02, -2.074912E-02, -3.45926E-03
-2.42581E-08, -5.294589E-02, -3.065537E-02, -4.09158E-03
-2.42331E-08, -5.716131E-02, -3.929698E-02, -3.72273E-03
-2.42081E-08, -5.558053E-02, -4.562012E-02, -2.51079E-03
-2.41831E-08, -4.820354E-02, -4.793860E-02, -7.1924E-04
-2.41581E-08, -3.397649E-02, -4.540934E-02, 1.33578E-03
-2.41331E-08, -1.869558E-02, -3.813774E-02, 3.39080E-03
-2.41081E-08, -4.46853E-03, -2.717764E-02, 5.12966E-03
-2.40831E-08, 5.54310E-03, -1.273982E-02, 6.13082E-03
-2.40581E-08, 1.028545E-02, 2.33032E-03, 6.23621E-03
-2.40331E-08, 9.75853E-03, 1.645199E-02, 5.65659E-03
-2.40081E-08, 6.59696E-03, 2.867671E-02, 4.44466E-03
-2.39831E-08, 2.38154E-03, 3.763449E-02, 2.91656E-03
-2.39581E-08, 8.0075E-04, 4.311454E-02, 1.01962E-03
-2.39331E-08, -7.8003E-04, 4.543302E-02, -5.6116E-04
-2.39081E-08, -2.36081E-03, 4.458993E-02, -1.66771E-03
-2.38831E-08, -4.46853E-03, 4.100683E-02, -2.30002E-03
-2.38581E-08, -8.15702E-03, 3.552677E-02, -2.45810E-03
-2.38331E-08, -1.500708E-02, 2.804440E-02, -1.93117E-03
-2.38081E-08, -2.554564E-02, 1.898124E-02, -9.3001E-04
-2.37831E-08, -3.713806E-02, 8.86422E-03, 3.8731E-04
-2.37581E-08, -4.609583E-02, -1.46356E-03, 1.86271E-03
-2.37331E-08, -5.136511E-02, -1.136981E-02, 3.07464E-03
-2.37081E-08, -5.294589E-02, -1.927372E-02, 4.02311E-03
-2.36831E-08, -4.978433E-02, -2.433223E-02, 4.55004E-03
-2.36581E-08, -4.293426E-02, -2.570224E-02, 4.39196E-03
-2.36331E-08, -3.555727E-02, -2.359453E-02, 3.75965E-03
-2.36081E-08, -3.081492E-02, -1.843064E-02, 2.75849E-03
-2.35831E-08, -2.765335E-02, -1.105365E-02, 1.54655E-03
-2.35581E-08, -2.712642E-02, -2.93896E-03, 5.4539E-04
-2.35331E-08, -2.976106E-02, 4.12187E-03, 1.846E-05
-2.35081E-08, -3.344956E-02, 8.75884E-03, 2.2923E-04
-2.34831E-08, -3.713806E-02, 1.023424E-02, 9.1424E-04
-2.34581E-08, -4.029962E-02, 8.54807E-03, 1.86271E-03
-2.34331E-08, -3.977269E-02, 3.80572E-03, 2.91656E-03
-2.34081E-08, -3.608420E-02, -3.14973E-03, 3.60157E-03
-2.33831E-08, -3.134185E-02, -1.073749E-02, 3.81234E-03
-2.33581E-08, -2.185715E-02, -1.769294E-02, 3.39080E-03
-2.33331E-08, -1.184552E-02, -2.285683E-02, 2.44233E-03
-2.33081E-08, -2.36081E-03, -2.506993E-02, 1.28309E-03
-2.32831E-08, 5.54310E-03, -2.412146E-02, 3.3462E-04
-2.32581E-08, 9.75853E-03, -2.011681E-02, -1.9231E-04
-2.32331E-08, 9.23160E-03, -1.326675E-02, -8.692E-05
-2.32081E-08, 3.96232E-03, -4.09820E-03, 5.4539E-04
-2.31831E-08, -5.52238E-03, 6.22959E-03, 1.70463E-03
-2.31581E-08, -1.764172E-02, 1.666276E-02, 2.91656E-03
-2.31331E-08, -3.081492E-02, 2.646361E-02, 3.97042E-03
-2.31081E-08, -4.135348E-02, 3.457830E-02, 4.81350E-03
-2.30831E-08, -4.820354E-02, 4.058528E-02, 5.12966E-03
-2.30581E-08, -4.873047E-02, 4.395762E-02, 4.65543E-03
-2.30331E-08, -4.082655E-02, 4.385224E-02, 3.91773E-03
-2.30081E-08, -3.028799E-02, 4.069067E-02, 3.02195E-03
-2.29831E-08, -1.974943E-02, 3.510523E-02, 2.02079E-03
-2.29581E-08, -9.21088E-03, 2.709593E-02, 1.44117E-03
-2.29331E-08, -4.99545E-03, 1.761123E-02, 1.23040E-03
-2.29081E-08, -7.10317E-03, 6.96728E-03, 1.59924E-03
-2.28831E-08, -1.342630E-02, -3.99282E-03, 2.54771E-03
-2.28581E-08, -2.343793E-02, -1.516369E-02, 3.60157E-03
-2.28331E-08, -3.134185E-02, -2.591302E-02, 4.65543E-03
-2.28081E-08, -3.555727E-02, -3.592464E-02, 5.39313E-03
-2.27831E-08, -3.503034E-02, -4.456626E-02, 5.65659E-03
-2.27581E-08, -2.923414E-02, -5.067863E-02, 4.91889E-03
-2.27331E-08, -2.080329E-02, -5.426173E-02, 3.97042E-03
-2.27081E-08, -1.448016E-02, -5.415635E-02, 2.54771E-03
-2.26831E-08, -1.184552E-02, -4.962477E-02, 1.17770E-03
-2.26581E-08, -1.289937E-02, -4.077238E-02, 2.2923E-04
-2.26331E-08, -1.395323E-02, -2.812611E-02, 7.115E-05
-2.26081E-08, -1.764172E-02, -1.305597E-02, 7.5616E-04
-2.25831E-08, -2.080329E-02, 3.27879E-03, 1.86271E-03
-2.25581E-08, -1.816865E-02, 1.877047E-02, 3.18003E-03
-2.25331E-08, -1.289937E-02, 3.236521E-02, 4.39196E-03
-2.25081E-08, -6.57624E-03, 4.248222E-02, 5.28774E-03
-2.24831E-08, -7.8003E-04, 4.796227E-02, 5.55120E-03
-2.24581E-08, 3.96232E-03, 4.880536E-02, 5.39313E-03
-2.24331E-08, 7.65082E-03, 4.574918E-02, 4.91889E-03
-2.24081E-08, 8.70467E-03, 3.900450E-02, 4.55004E-03
-2.23831E-08, 1.186624E-02, 2.983595E-02, 4.49735E-03
-2.23581E-08, 1.555473E-02, 1.961355E-02, 4.76081E-03
-2.23331E-08, 1.924323E-02, 9.81269E-03, 5.49851E-03
-2.23081E-08, 2.082401E-02, 2.01416E-03, 6.23621E-03
-2.22831E-08, 1.660859E-02, -2.51742E-03, 6.92122E-03
-2.22581E-08, 7.12389E-03, -4.20359E-03, 7.29007E-03
-2.22331E-08, -7.10317E-03, -2.93896E-03, 7.23737E-03
-2.22081E-08, -2.501871E-02, 4.3338E-04, 6.65775E-03
-2.21831E-08, -4.398812E-02, 4.33264E-03, 6.02544E-03
-2.21581E-08, -5.716131E-02, 7.07267E-03, 4.91889E-03
-2.21331E-08, -5.926903E-02, 6.96728E-03, 3.91773E-03
-2.21081E-08, -5.347282E-02, 3.38418E-03, 2.81118E-03
-2.20831E-08, -3.819191E-02, -3.25512E-03, 2.07348E-03
-2.20581E-08, -1.869558E-02, -1.242366E-02, 1.65194E-03
-2.20331E-08, 1.32768E-03, -2.211913E-02, 1.70463E-03
-2.20081E-08, 1.608166E-02, -3.065537E-02, 2.28425E-03
-2.19831E-08, 2.398558E-02, -3.560849E-02, 3.12734E-03
-2.19581E-08, 2.714715E-02, -3.592464E-02, 4.02311E-03
-2.19331E-08, 2.451251E-02, -3.097152E-02, 4.44466E-03
-2.19081E-08, 1.977016E-02, -2.138143E-02, 4.28658E-03
-2.18831E-08, 1.450088E-02, -8.94594E-03, 3.54888E-03
-2.18581E-08, 9.75853E-03, 4.33264E-03, 2.12617E-03
-2.18331E-08, 5.54310E-03, 1.676814E-02, 7.0347E-04
-2.18081E-08, -1.30696E-03, 2.572592E-02, -4.5577E-04
-2.17831E-08, -7.63009E-03, 3.067904E-02, -8.7732E-04
-2.17581E-08, -1.553401E-02, 3.099520E-02, -6.1385E-04
-2.17331E-08, -2.133022E-02, 2.699054E-02, 2.8192E-04
-2.17081E-08, -2.501871E-02, 2.024587E-02, 1.49386E-03
-2.16831E-08, -2.607257E-02, 1.223656E-02, 2.28425E-03
-2.16581E-08, -2.343793E-02, 4.64880E-03, 2.44233E-03
-2.16331E-08, -1.974943E-02, -1.56895E-03, 1.96809E-03
-2.16081E-08, -1.711480E-02, -5.25744E-03, 9.1424E-04
-2.15831E-08, -1.711480E-02, -6.52207E-03, -3.423E-05
-2.15581E-08, -2.027636E-02, -5.88976E-03, -5.0847E-04
-2.15331E-08, -2.659950E-02, -3.36050E-03, 1.846E-05
-2.15081E-08, -3.186877E-02, -9.3663E-04, 1.49386E-03
-2.14831E-08, -3.450342E-02, 1.59262E-03, 3.97042E-03
-2.14581E-08, -3.239570E-02, 3.06802E-03, 6.49967E-03
-2.14331E-08, -2.396486E-02, 3.70033E-03, 8.50200E-03
-2.14081E-08, -1.237244E-02, 3.38418E-03, 9.71393E-03
-2.13831E-08, -1.30696E-03, 1.80339E-03, 9.45047E-03
-2.13581E-08, 5.54310E-03, -9.355E-05, 7.65892E-03
-2.13331E-08, 6.07003E-03, -2.30665E-03, 4.86620E-03
-2.13081E-08, -7.8003E-04, -4.62513E-03, 1.49386E-03
-2.12831E-08, -1.395323E-02, -6.73284E-03, -1.72040E-03
-2.12581E-08, -2.923414E-02, -8.20824E-03, -3.88081E-03
-2.12331E-08, -4.188041E-02, -9.15671E-03, -4.46043E-03
-2.12081E-08, -5.189203E-02, -9.57825E-03, -3.61734E-03
-2.11831E-08, -5.558053E-02, -9.05132E-03, -1.14078E-03
-2.11581E-08, -5.347282E-02, -8.52439E-03, 2.23156E-03
-2.11331E-08, -4.609583E-02, -8.94594E-03, 5.65659E-03
-2.11081E-08, -3.661112E-02, -1.084288E-02, 8.44931E-03
-2.10831E-08, -2.818028E-02, -1.516369E-02, 1.003009E-02
-2.10581E-08, -1.869558E-02, -2.190836E-02, 9.87201E-03
-2.10331E-08, -1.131859E-02, -2.991767E-02, 8.29123E-03
-2.10081E-08, -6.57624E-03, -3.803236E-02, 5.92005E-03
-2.09831E-08, -1.30696E-03, -4.361779E-02, 3.18003E-03
-2.09581E-08, 2.38154E-03, -4.519857E-02, 1.07232E-03
-2.09331E-08, 7.12389E-03, -4.035084E-02, -1.9231E-04
-2.09081E-08, 1.133931E-02, -2.991767E-02, -3.5039E-04
-2.08831E-08, 1.502781E-02, -1.474214E-02, 3.8731E-04
-2.08581E-08, 1.608166E-02, 2.75186E-03, 1.38847E-03
-2.08331E-08, 1.660859E-02, 1.929740E-02, 2.23156E-03
-2.08081E-08, 1.239317E-02, 3.204905E-02, 2.54771E-03
-2.07831E-08, 5.54310E-03, 3.932066E-02, 1.86271E-03
-2.07581E-08, -3.94160E-03, 4.111221E-02, 5.9808E-04
-2.07331E-08, -1.237244E-02, 3.805603E-02, -7.7193E-04
-2.07081E-08, -2.133022E-02, 3.162751E-02, -1.82579E-03
-2.06831E-08, -2.870721E-02, 2.425052E-02, -1.98386E-03
-2.06581E-08, -3.397649E-02, 1.708430E-02, -1.35155E-03
-2.06331E-08, -3.766498E-02, 1.118271E-02, 4.4000E-04
-2.06081E-08, -4.135348E-02, 5.91343E-03, 2.60041E-03
-2.05831E-08, -4.346119E-02, 5.3876E-04, 5.12966E-03
-2.05581E-08, -4.398812E-02, -4.83590E-03, 7.13199E-03
-2.05331E-08, -4.609583E-02, -1.063211E-02, 8.44931E-03
-2.05081E-08, -4.504197E-02, -1.632293E-02, 8.87085E-03
-2.04831E-08, -3.924577E-02, -2.117066E-02, 8.23854E-03
-2.04581E-08, -3.081492E-02, -2.433223E-02, 6.92122E-03
-2.04331E-08, -1.816865E-02, -2.443762E-02, 5.34043E-03
-2.04081E-08, -3.94160E-03, -2.201375E-02, 3.91773E-03
-2.03831E-08, 7.12389E-03, -1.727140E-02, 2.75849E-03
-2.03581E-08, 1.344702E-02, -1.136981E-02, 2.23156E-03
-2.03331E-08, 1.450088E-02, -4.94129E-03, 2.17887E-03
-2.03081E-08, 8.70467E-03, 8.5492E-04, 2.65310E-03
-2.02831E-08, -1.83389E-03, 5.59727E-03, 3.33811E-03
-2.02581E-08, -1.448016E-02, 8.75884E-03, 3.86503E-03
-2.02331E-08, -2.501871E-02, 1.023424E-02, 3.70696E-03
-2.02081E-08, -3.186877E-02, 1.012885E-02, 3.33811E-03
-2.01831E-08, -3.186877E-02, 8.23191E-03, 2.60041E-03
-2.01581E-08, -2.659950E-02, 4.75419E-03, 1.70463E-03
-2.01331E-08, -1.816865E-02, -1.9893E-04, 1.17770E-03
-2.01081E-08, -1.237244E-02, -5.67898E-03, 1.07232E-03
-2.00831E-08, -6.04931E-03, -1.210750E-02, 1.70463E-03
-2.00581E-08, -3.41467E-03, -1.769294E-02, 2.65310E-03
-2.00331E-08, -2.36081E-03, -2.243529E-02, 3.81234E-03
-2.00081E-08, -2.5310E-04, -2.591302E-02, 4.55004E-03
-1.99831E-08, 4.48925E-03, -2.738841E-02, 4.49735E-03
-1.99581E-08, 1.028545E-02, -2.686149E-02, 3.65426E-03
-1.99331E-08, 1.713552E-02, -2.412146E-02, 2.23156E-03
-1.99081E-08, 1.871630E-02, -1.927372E-02, 5.9808E-04
-1.98831E-08, 1.344702E-02, -1.210750E-02, -6.6655E-04
-1.98581E-08, -7.8003E-04, -3.36050E-03, -1.45694E-03
-1.98331E-08, -2.027636E-02, 7.81037E-03, -1.35155E-03
-1.98081E-08, -4.293426E-02, 1.971894E-02, -5.6116E-04
-1.97831E-08, -6.295752E-02, 3.162751E-02, 5.4539E-04
-1.97581E-08, -7.244222E-02, 4.195530E-02, 1.65194E-03
-1.97331E-08, -6.717294E-02, 4.943767E-02, 2.65310E-03
-1.97081E-08, -4.873047E-02, 5.259924E-02, 3.33811E-03
-1.96831E-08, -1.974943E-02, 5.017537E-02, 3.75965E-03
-1.96581E-08, 1.292009E-02, 4.206068E-02, 4.02311E-03
-1.96331E-08, 4.190113E-02, 2.857133E-02, 4.28658E-03
-1.96081E-08, 5.981667E-02, 1.128809E-02, 4.39196E-03
-1.95831E-08, 6.350517E-02, -8.41901E-03, 4.60273E-03
-1.95581E-08, 5.349354E-02, -2.759918E-02, 4.39196E-03
-1.95331E-08, 3.294335E-02, -4.488242E-02, 3.54888E-03
-1.95081E-08, 7.65082E-03, -5.858254E-02, 2.38964E-03
-1.94831E-08, -1.500708E-02, -6.743493E-02, 9.1424E-04
-1.94581E-08, -3.081492E-02, -7.154497E-02, -6.1385E-04
-1.94331E-08, -3.977269E-02, -7.133420E-02, -1.72040E-03
-1.94081E-08, -4.240733E-02, -6.690800E-02, -1.93117E-03
-1.93831E-08, -3.924577E-02, -5.984717E-02, -1.40424E-03
-1.93581E-08, -3.608420E-02, -5.004631E-02, -8.692E-05
-1.93331E-08, -3.239570E-02, -3.813774E-02, 1.54655E-03
-1.93081E-08, -3.081492E-02, -2.517532E-02, 2.91656E-03
-1.92831E-08, -3.028799E-02, -1.094826E-02, 3.75965E-03
-1.92581E-08, -2.659950E-02, 3.70033E-03, 3.70696E-03
-1.92331E-08, -1.922251E-02, 1.834893E-02, 2.60041E-03
-1.92081E-08, -8.68395E-03, 3.173289E-02, 9.6693E-04
-1.91831E-08, 7.12389E-03, 4.343069E-02, -6.6655E-04
-1.91581E-08, 2.451251E-02, 5.249385E-02, -1.98386E-03
-1.91331E-08, 3.768570E-02, 5.913314E-02, -2.56349E-03
-1.91081E-08, 4.453577E-02, 6.261086E-02, -2.03656E-03
-1.90831E-08, 4.190113E-02, 6.292702E-02, -6.6655E-04
-1.90581E-08, 3.030871E-02, 6.018700E-02, 1.01962E-03
-1.90331E-08, 9.75853E-03, 5.460157E-02, 2.86387E-03
-1.90081E-08, -1.448016E-02, 4.585456E-02, 4.33927E-03
-1.89831E-08, -3.608420E-02, 3.405138E-02, 4.91889E-03
-1.89581E-08, -5.083818E-02, 1.919201E-02, 4.70812E-03
